,2_pyaes_1500-0-0.0.1,3_pyaes_1000-0-0.0.1,5_pyaes_250-0-0.0.1,1_pyaes_2000-0-0.0.1
0,74.0,112.0,317.0,87.0
1,73.0,90.0,307.0,72.0
2,112.0,96.0,273.0,75.0
3,90.0,87.0,283.0,75.0
4,45.0,110.0,254.0,64.0
