minutes,2_pyaes_1500-0-0.0.1,3_pyaes_1000-0-0.0.1,5_pyaes_250-0-0.0.1,1_pyaes_2000-0-0.0.1
845,1.2333333333333334,1.8666666666666667,5.283333333333333,1.45
846,1.2166666666666666,1.5,5.116666666666666,1.2
847,1.8666666666666667,1.6,4.55,1.25
848,1.5,1.45,4.716666666666667,1.25
849,0.75,1.8333333333333333,4.233333333333333,1.0666666666666667
