timestamp,ipmi
2023-07-19 21:52:06.301868037,167
2023-07-19 21:52:07.302865852,180
2023-07-19 21:52:08.307896073,154
2023-07-19 21:52:09.305523626,103
2023-07-19 21:52:10.308835635,142
2023-07-19 21:52:11.32593591,146
2023-07-19 21:52:12.306852174,97
2023-07-19 21:52:13.316789639,91
2023-07-19 21:52:14.308134181,94
2023-07-19 21:52:15.310406939,95
2023-07-19 21:52:16.308027638,95
2023-07-19 21:52:17.309286126,96
2023-07-19 21:52:18.309037257,96
2023-07-19 21:52:19.310945425,93
2023-07-19 21:52:20.314353785,96
2023-07-19 21:52:21.31425724,92
2023-07-19 21:52:22.312613767,99
2023-07-19 21:52:23.315717659,102
2023-07-19 21:52:24.316358316,104
2023-07-19 21:52:25.316970365,105
2023-07-19 21:52:26.316101582,101
2023-07-19 21:52:27.316406629,96
2023-07-19 21:52:28.316508894,96
2023-07-19 21:52:29.319620401,94
2023-07-19 21:52:30.318721235,92
2023-07-19 21:52:31.320258789,96
2023-07-19 21:52:32.320646692,90
2023-07-19 21:52:33.331024092,96
2023-07-19 21:52:34.321038412,100
2023-07-19 21:52:35.328130629,96
2023-07-19 21:52:36.323825151,95
2023-07-19 21:52:37.324330359,91
2023-07-19 21:52:38.325027459,93
2023-07-19 21:52:39.326609467,90
2023-07-19 21:52:40.325737137,92
2023-07-19 21:52:41.327032793,96
2023-07-19 21:52:42.326850977,101
2023-07-19 21:52:43.328150921,101
2023-07-19 21:52:44.328361734,99
2023-07-19 21:52:45.33077231,94
2023-07-19 21:52:46.328846289,95
2023-07-19 21:52:47.32981006,94
2023-07-19 21:52:48.342078049,89
2023-07-19 21:52:49.331438316,89
2023-07-19 21:52:50.332592972,92
2023-07-19 21:52:51.333129611,90
2023-07-19 21:52:52.333502747,96
2023-07-19 21:52:53.335530117,100
2023-07-19 21:52:54.33538251,98
2023-07-19 21:52:55.336079419,94
2023-07-19 21:52:56.338535471,90
2023-07-19 21:52:57.342852639,91
2023-07-19 21:52:58.336664924,94
2023-07-19 21:52:59.339166279,92
2023-07-19 21:53:00.338681567,98
2023-07-19 21:53:01.338928973,101
2023-07-19 21:53:02.339140041,102
2023-07-19 21:53:03.339208233,101
2023-07-19 21:53:04.341017278,93
2023-07-19 21:53:05.343024148,94
2023-07-19 21:53:06.342808303,94
2023-07-19 21:53:07.3471529,94
2023-07-19 21:53:08.34554181,89
2023-07-19 21:53:09.344546616,91
2023-07-19 21:53:10.345010421,100
2023-07-19 21:53:11.345401236,103
2023-07-19 21:53:12.348228478,103
2023-07-19 21:53:13.34958909,109
2023-07-19 21:53:14.349008415,115
2023-07-19 21:53:15.348710045,135
2023-07-19 21:53:16.352174021,135
2023-07-19 21:53:17.347450255,150
2023-07-19 21:53:18.347802415,167
2023-07-19 21:53:19.351572987,196
2023-07-19 21:53:20.347739857,211
2023-07-19 21:53:21.357214995,224
2023-07-19 21:53:22.35260618,235
2023-07-19 21:53:23.34883679,242
2023-07-19 21:53:24.350414138,234
2023-07-19 21:53:25.355451334,230
2023-07-19 21:53:26.355650784,260
2023-07-19 21:53:27.361027372,259
2023-07-19 21:53:28.350424976,247
2023-07-19 21:53:29.35302712,237
2023-07-19 21:53:30.352924407,217
2023-07-19 21:53:31.357612511,205
2023-07-19 21:53:32.360151325,209
2023-07-19 21:53:33.356017303,209
2023-07-19 21:53:34.357481298,234
2023-07-19 21:53:35.358722169,229
2023-07-19 21:53:36.359249272,216
2023-07-19 21:53:37.358246959,211
2023-07-19 21:53:38.359294051,205
2023-07-19 21:53:39.375591489,157
2023-07-19 21:53:40.360772114,151
2023-07-19 21:53:41.361102726,204
2023-07-19 21:53:42.360519176,187
2023-07-19 21:53:43.363031701,204
2023-07-19 21:53:44.373743639,228
2023-07-19 21:53:45.359395023,235
2023-07-19 21:53:46.362320098,242
2023-07-19 21:53:47.373113584,229
2023-07-19 21:53:48.375666077,239
2023-07-19 21:53:49.375767606,244
2023-07-19 21:53:50.375698717,237
2023-07-19 21:53:51.375656441,233
2023-07-19 21:53:52.390340045,220
2023-07-19 21:53:53.378463796,218
2023-07-19 21:53:54.375842123,222
2023-07-19 21:53:56.375700026,213
2023-07-19 21:53:57.374533945,199
2023-07-19 21:53:58.390497807,199
2023-07-19 21:53:59.377610058,212
2023-07-19 21:54:00.378402476,211
2023-07-19 21:54:01.379139204,223
2023-07-19 21:54:02.392750424,238
2023-07-19 21:54:03.379072994,207
2023-07-19 21:54:04.392011412,217
2023-07-19 21:54:05.380480867,228
2023-07-19 21:54:06.381256287,232
2023-07-19 21:54:07.380774364,231
2023-07-19 21:54:08.383914445,183
2023-07-19 21:54:09.38207832,130
2023-07-19 21:54:10.390440299,197
2023-07-19 21:54:11.383849031,203
2023-07-19 21:54:12.390240969,215
2023-07-19 21:54:13.383891281,207
2023-07-19 21:54:14.383840597,200
2023-07-19 21:54:15.383639081,208
2023-07-19 21:54:16.390837888,223
2023-07-19 21:54:17.385240289,239
2023-07-19 21:54:18.385017741,241
2023-07-19 21:54:19.395689957,222
2023-07-19 21:54:20.385581448,216
2023-07-19 21:54:21.392669304,229
2023-07-19 21:54:22.390968362,232
2023-07-19 21:54:23.386555733,243
2023-07-19 21:54:24.390302785,230
2023-07-19 21:54:25.397949562,219
2023-07-19 21:54:26.390539549,217
2023-07-19 21:54:27.39071522,213
2023-07-19 21:54:28.393135478,210
2023-07-19 21:54:29.390558781,225
2023-07-19 21:54:30.398431592,263
2023-07-19 21:54:31.391463112,249
2023-07-19 21:54:32.391179608,243
2023-07-19 21:54:33.393538545,252
2023-07-19 21:54:34.396090848,259
2023-07-19 21:54:35.394801431,256
2023-07-19 21:54:36.395434212,243
2023-07-19 21:54:37.399200776,221
2023-07-19 21:54:38.396322682,169
2023-07-19 21:54:39.398112573,178
2023-07-19 21:54:40.407519513,217
2023-07-19 21:54:41.398219851,217
2023-07-19 21:54:42.399152248,237
2023-07-19 21:54:43.399574423,240
2023-07-19 21:54:44.398458897,221
2023-07-19 21:54:45.400280344,210
2023-07-19 21:54:46.401871782,211
2023-07-19 21:54:47.402691774,212
2023-07-19 21:54:48.404304105,226
2023-07-19 21:54:49.413381033,223
2023-07-19 21:54:50.40528682,209
2023-07-19 21:54:51.411277724,207
2023-07-19 21:54:52.408298695,208
2023-07-19 21:54:53.408547662,217
2023-07-19 21:54:54.409449478,218
