minutes,image_processing-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1045,2.6821225106800926,46.968639905822585,2.8372570260960344
1046,3.246556728110206,12.639614775606418,2.8051045181566194
1047,3.1578705291332834,30.91209417622242,2.1312373179188686
1048,2.670626038353275,16.15163161377837,2.9381792490739196
1049,2.9490793449649204,10.17260548399002,3.089561264587137
1050,3.3656864032608964,20.66235914768824,2.7332193793502486
1051,2.8662035546835694,39.39874600155099,2.5763411815765513
1052,2.6887785361318093,45.290316148556265,2.660405495933162
1053,3.2144264761383523,27.8082947280727,4.4552008081165955
1054,2.6407221576663455,25.88826928287774,2.8658787151683147
1055,3.3801344912115012,67.37488504328714,2.9171293655205117
