minutes,cnn_image_classification_gpu-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1045,232.07237701519333,7.18280255441463,11.003398624485119
1046,62.45242466916114,8.694373902334913,10.878705352645344
1047,152.73687269586293,8.456869666784078,8.265325825876051
1048,79.80532433553853,7.152014665171316,11.394793355128481
1049,50.26291457110503,7.897720766981026,11.981880335951606
1050,102.09286050778722,9.013406657763372,10.59992171401557
1051,194.66947849312328,7.675776975911961,9.991519539056474
1052,223.77976763730115,7.200627585309553,10.317536234918736
1053,137.40097799772295,8.608328147520046,17.27807878981206
1054,127.91411889578818,7.071931197794382,11.114398738775684
1055,332.89977641406443,9.05209906000256,11.31315807936503
