minute,tegra,igpm
1053,19.02971771560035,16.998947591913485
1054,18.958602589475475,14.563690464681082
1055,18.95394877324752,14.415975538597966
1056,18.980778002115155,14.236127917014318
1057,19.00825576165257,14.134720326463858
1058,18.965175959870756,14.194404566533567
1059,18.98227282998628,14.13569864213901
1060,18.960519732162023,13.928889545829266
1061,18.984707376602394,13.857020163633162
1062,18.979110180744932,15.030170178440219
1063,18.992170547945648,13.794760045242525
1064,18.955121205381527,14.756092009148462
1065,18.94907690619564,15.145504885532974
1066,18.965014673122536,14.01891567078434
1067,19.068204485263614,13.583619736207172
