minutes,dd-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1053,0.015200105649800963,35.9525468856195,0.8031844539435317
1054,0.01656786886096368,36.352441133187575,0.6940999606746739
1055,0.02020285098060711,33.79532711347587,0.8439552225615025
1056,0.024358372254153632,37.58708060388794,1.4017398950071889
1057,0.021217873977343822,33.95449494944437,1.0456678346996424
1058,0.017100584515424063,35.98216042186182,0.8194746652505199
1059,0.02855955016423457,36.191305172629605,1.013175577420456
1060,0.02789258291483734,33.152972461962385,1.0090030020025165
1061,0.02027829726868545,34.94820544670543,1.0332586561621138
1062,0.012351633754408288,39.015738719102856,0.4766110251307624
1063,0.00988617928242248,37.7234713411251,0.500345795884315
1064,0.014874008923087122,34.97942462470355,0.5761792012949943
1065,0.012573903237470947,37.11617904280036,0.649435297825551
1066,0.01875179571583343,54.51801257137916,0.8697408482515289
