minutes,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1053,4.0381668183691675,2.0055891784272957,0.20384901990466872
1054,4.083082681674307,1.7332000925080262,0.22219212859620815
1055,3.7958692884747096,2.107395696139246,0.2709409701853462
1056,4.22175658867435,3.500210133043589,0.3266707761697244
1057,3.8137469168887534,2.611081530781905,0.2845534705082099
1058,4.041492991611046,2.046266598602919,0.2293363923632857
1059,4.064983994779012,2.529946843398634,0.3830128845172646
1060,3.7237204293794335,2.519527727262479,0.3740681690507693
1061,3.9253598373828447,2.580095231102119,0.2719527823552449
1062,4.3822225443689184,1.190120039834089,0.1656480877875032
1063,4.237075908087137,1.2493868734263693,0.13258381249146467
1064,3.928866355268486,1.438746436485892,0.19947572805616057
1065,4.168865229829819,1.6216703386283493,0.16862894971839598
1066,6.12342791929532,2.1717836105080788,0.2514808295543172
