minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
81,4.4536285017316475,2.372379980363417,7.1471087668973174
82,4.638565571377499,2.3906235514165206,7.633481617878569
83,4.62569234023197,2.384606936335057,7.433028894835318
84,4.617726762000719,2.4792868081992796,9.43158056627798
85,4.925883547098512,2.306544104254833,10.577107285479025
86,4.992881452125033,2.286194772078225,11.101471825282598
87,4.838515345862498,2.3244854240401343,13.242521461544985
88,4.697526961777726,2.3915693182303,13.41309514757396
89,4.538121596320282,2.507236668566678,13.504207774742994
90,4.775651732380869,2.3725762363651532,15.097090525738398
91,4.737069167603504,2.6433054613674374,16.508738277856818
92,4.848287953711622,2.3178866030759484,16.751011685966056
93,4.858268792755997,2.505600776574797,16.642718532357893
94,4.82417257866594,2.466485331733228,18.073688511010094
95,4.844997394900754,2.5347752312276306,17.78251916999173
96,5.271464644294082,2.8455912301922774,17.779121274204833
