,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
0,83.61686999999999,31.86246899999999,97.23160399999999
1,92.58652199999999,36.088179000000004,72.83187600000001
2,53.074358000000004,28.115939,149.171305
3,62.58438999999999,26.908352999999998,150.158044
4,66.919163,24.124992000000002,148.61576799999997
5,52.087248,32.393347000000006,155.16195499999998
6,52.422089,27.12534,160.12946399999998
7,82.408273,25.266090000000002,131.987387
8,42.061385,30.346020999999993,167.285258
9,46.182887,18.611611,174.928738
10,39.75751900000001,35.960181,163.96903300000005
11,57.11944400000001,24.416630999999995,158.180104
12,57.123743,16.420668,166.18391799999995
13,49.422557999999995,20.080849999999998,170.23825700000003
14,34.855709,20.950830000000003,183.94845
15,29.243913,15.392331,82.73898200000001
