07-07-2023 18:22:56 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@727,2%@729,0%@733,0%@697,4%@728,6%@709,1%@729,0%@729,5%@735,2%@729,3%@728,0%@752] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.437C Tdiode@36C SOC2@43.218C SOC0@44.218C CV1@-256C GPU@41.718C SOC1@43.843C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1155mW VIN_SYS_5V0 3818mW/4003mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/795mW NC 0mW/0mW
07-07-2023 18:22:57 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@2193,1%@728,0%@744,0%@729,5%@728,5%@729,2%@783,2%@728,7%@730,1%@723,1%@729,0%@730] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.281C Tdiode@36.25C SOC2@43.187C SOC0@44.187C CV1@-256C GPU@41.437C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1157mW VIN_SYS_5V0 3818mW/3989mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/795mW NC 0mW/0mW
07-07-2023 18:22:59 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [8%@732,1%@729,0%@730,0%@729,4%@709,3%@730,0%@727,0%@729,4%@729,1%@729,0%@730,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.093C Tdiode@36.25C SOC2@43.343C SOC0@44.156C CV1@-256C GPU@41.781C SOC1@43.625C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1159mW VIN_SYS_5V0 3818mW/3977mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/796mW NC 0mW/0mW
07-07-2023 18:23:00 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@729,1%@728,0%@729,1%@736,7%@729,4%@727,0%@729,1%@729,3%@740,0%@729,1%@729,1%@730] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.218C Tdiode@36.25C SOC2@43.156C SOC0@44.156C CV1@-256C GPU@41.625C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1161mW VIN_SYS_5V0 3818mW/3966mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/796mW NC 0mW/0mW
07-07-2023 18:23:01 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [5%@730,0%@732,1%@729,0%@729,4%@728,3%@735,1%@730,5%@729,3%@729,1%@729,0%@707,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.375C Tdiode@36.25C SOC2@43.187C SOC0@44.25C CV1@-256C GPU@41.75C SOC1@43.562C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1163mW VIN_SYS_5V0 3824mW/3957mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/797mW NC 0mW/0mW
07-07-2023 18:23:02 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@729,0%@730,0%@730,0%@729,6%@750,5%@716,1%@758,0%@729,5%@730,1%@726,2%@729,2%@726] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.406C Tdiode@36C SOC2@43.281C SOC0@44.156C CV1@-256C GPU@41.625C SOC1@43.531C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1164mW VIN_SYS_5V0 3824mW/3949mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/797mW NC 0mW/0mW
07-07-2023 18:23:03 RAM 2294/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@730,0%@729,0%@729,0%@729,4%@729,2%@727,2%@729,0%@730,5%@730,2%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.062C Tdiode@36C SOC2@43.375C SOC0@44.156C CV1@-256C GPU@41.625C SOC1@43.593C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1166mW VIN_SYS_5V0 3818mW/3942mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/797mW NC 0mW/0mW
07-07-2023 18:23:04 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [8%@729,1%@763,0%@728,0%@729,5%@732,4%@730,0%@729,2%@733,4%@730,2%@730,0%@731,1%@730] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.156C Tdiode@36.25C SOC2@43.343C SOC0@44.156C CV1@-256C GPU@41.5C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1167mW VIN_SYS_5V0 3818mW/3935mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/798mW NC 0mW/0mW
07-07-2023 18:23:05 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [5%@729,1%@729,0%@729,0%@727,5%@730,3%@735,2%@676,3%@729,5%@729,1%@726,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.187C Tdiode@36C SOC2@43.25C SOC0@44.187C CV1@-256C GPU@41.687C SOC1@43.843C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 792mW/1148mW VIN_SYS_5V0 3717mW/3924mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/798mW NC 0mW/0mW
07-07-2023 18:23:06 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@2195,0%@729,0%@756,0%@730,7%@729,6%@728,3%@729,1%@729,4%@729,0%@731,1%@730,2%@729] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.218C Tdiode@36.25C SOC2@43.281C SOC0@44.218C CV1@-256C GPU@41.812C SOC1@43.781C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 1188mW/1150mW VIN_SYS_5V0 3818mW/3919mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/798mW NC 0mW/0mW
07-07-2023 18:23:08 RAM 2294/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [7%@2193,0%@729,0%@729,0%@729,3%@730,0%@729,2%@729,1%@729,4%@728,3%@730,0%@729,0%@693] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.312C Tdiode@36.25C SOC2@43.343C SOC0@44.312C CV1@-256C GPU@41.5C SOC1@43.875C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 792mW/1134mW VIN_SYS_5V0 3723mW/3910mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/798mW NC 0mW/0mW
07-07-2023 18:23:09 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [7%@1095,0%@730,1%@729,0%@729,6%@729,3%@728,2%@729,2%@731,3%@730,2%@729,2%@729,0%@730] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.093C Tdiode@36.25C SOC2@43.312C SOC0@44.312C CV1@-256C GPU@41.562C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 792mW/1119mW VIN_SYS_5V0 3717mW/3902mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/798mW NC 0mW/0mW
07-07-2023 18:23:10 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@729,0%@726,0%@729,0%@734,5%@728,3%@765,1%@729,2%@730,7%@748,0%@727,1%@733,0%@729] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.218C Tdiode@36.25C SOC2@43.25C SOC0@44.218C CV1@-256C GPU@41.562C SOC1@43.75C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 792mW/1105mW VIN_SYS_5V0 3717mW/3894mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/799mW NC 0mW/0mW
07-07-2023 18:23:11 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@718,0%@766,0%@729,0%@729,5%@727,2%@729,2%@724,4%@729,4%@729,4%@701,4%@728,0%@727] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.25C Tdiode@36.25C SOC2@43.406C SOC0@44.218C CV1@-256C GPU@41.593C SOC1@43.656C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 1188mW/1108mW VIN_SYS_5V0 3818mW/3891mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/799mW NC 0mW/0mW
07-07-2023 18:23:12 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [7%@729,0%@731,0%@746,0%@728,6%@729,6%@729,3%@729,2%@729,5%@723,0%@727,0%@738,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.156C Tdiode@36.25C SOC2@43.5C SOC0@44.218C CV1@-256C GPU@41.75C SOC1@43.75C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1111mW VIN_SYS_5V0 3818mW/3888mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/799mW NC 0mW/0mW
07-07-2023 18:23:13 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [7%@2191,2%@729,0%@734,0%@729,6%@732,5%@708,2%@729,0%@729,5%@729,1%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.406C Tdiode@36.25C SOC2@43.375C SOC0@44.312C CV1@-256C GPU@41.937C SOC1@43.843C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1114mW VIN_SYS_5V0 3824mW/3886mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/799mW NC 0mW/0mW
07-07-2023 18:23:14 RAM 2294/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [8%@2197,0%@730,0%@729,0%@745,5%@728,0%@729,3%@762,3%@761,5%@722,0%@754,2%@729,3%@728] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.593C Tdiode@36.25C SOC2@43.468C SOC0@44.531C CV1@-256C GPU@41.562C SOC1@44C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 792mW/1103mW VIN_SYS_5V0 3723mW/3880mW NC 0mW/0mW VDDQ_VDD2_1V8AO 703mW/796mW NC 0mW/0mW
07-07-2023 18:23:15 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [7%@729,2%@737,0%@733,0%@731,5%@729,2%@731,3%@729,3%@727,6%@738,1%@756,2%@728,0%@727] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.187C Tdiode@36.25C SOC2@43.5C SOC0@44.25C CV1@-256C GPU@41.75C SOC1@43.718C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 792mW/1092mW VIN_SYS_5V0 3717mW/3874mW NC 0mW/0mW VDDQ_VDD2_1V8AO 703mW/792mW NC 0mW/0mW
07-07-2023 18:23:16 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [8%@1228,4%@729,0%@729,0%@728,7%@729,1%@729,1%@729,3%@730,3%@727,3%@730,1%@732,0%@713] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.375C Tdiode@36.5C SOC2@43.468C SOC0@44.343C CV1@-256C GPU@41.593C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 792mW/1082mW VIN_SYS_5V0 3717mW/3869mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/793mW NC 0mW/0mW
