minute,perf_rapl,igpm,x_rest
1035,35.86933333333333,60.355238676417656,24.485905343084323
1036,35.87283333333333,63.29863122527282,27.425797891939485
1037,34.26766666666666,58.87680145570145,24.60913478903478
1038,38.26866666666667,66.22402288069618,27.955356214029514
1039,44.97483333333333,71.19239673740921,26.217563404075893
1040,39.66583333333333,66.04374198919014,26.377908655856803
1041,39.907333333333334,69.30327078143198,29.395937448098632
1042,40.16433333333334,66.35357521207149,26.189241878738166
1043,42.952,69.52490502689804,26.572905026898038
1044,34.59216666666667,61.04263151255332,26.45046484588666
1045,42.67066666666666,71.80237426056144,29.13170759389477
1046,43.36466666666667,72.62766753813266,29.263000871465987
1047,47.178999999999995,72.47652091922646,25.29752091922646
1048,28.746666666666666,55.89674024924701,27.150073582580337
