minutes,cnn_image_classification-0-0.0.1,cp,image_processing-0-0.0.1,pyaes-0-0.0.1
1033,18.818044172562225,,15.049632913519897,11.24951113248659
1035,39.575163705851395,,29.722837208677316,19.524940549594337
1036,31.29038225632557,,28.385497888041524,16.446806438822954
1037,47.81666624766818,,28.789106032406753,27.250912008186933
1038,40.155948267773006,,28.95521856850908,24.411809578605432
1039,32.478613580768226,,15.906327750012244,17.77006152030714
1040,46.417702093383255,,29.577249773880556,21.134080014716382
1041,35.248838449948316,,37.109858833750074,21.352345923218596
1042,54.86040633381968,,26.72527879688154,22.993663306973616
1043,30.160572479300285,,20.582030223638014,20.390909806844416
1044,44.51928868536021,,26.021239244116213,21.023361255077138
1045,58.84742385166782,,27.501370780424168,19.631380830003643
1046,40.56663405259008,,19.550143356194102,13.493321534332827
1047,62.22766594749382,,41.46513462456608,32.88585951673045
