minutes,cnn_image_classification-0-0.0.1,cp,image_processing-0-0.0.1,pyaes-0-0.0.1
1033,,,,
1035,11.107115817559185,,6.389810227666429,8.429650881589993
1036,5.494326418213629,,4.3854624038866366,8.451530051437357
1037,10.254259249383367,,7.349710349144128,15.1279290415961
1038,10.689186871258187,,7.9310798457222145,6.2301482077016255
1039,8.681880510941959,,6.212173397756348,10.157072989157248
1040,6.6979594390665085,,9.63487950794948,10.354614927608337
1041,5.805102703547156,,7.379629175615059,5.9965555357866105
1042,12.41192388767748,,8.246479518446609,6.984112645783382
1043,9.269763929399698,,7.79405386919198,7.189848760787474
1044,8.209578327471078,,6.3424470429099165,6.612989867445745
1045,10.213945240183032,,10.57452442263342,6.8476406784237565
1046,6.469457621541903,,7.592971443278037,7.534753165532413
1047,11.073363447798952,,11.065085562706477,17.883744508963836
1048,,,,
