,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
0,115.78997900000002,38.977824,3.15765
1,123.35429700000002,36.419779000000005,24.141586
2,178.22451199999998,35.52361500000001,14.736175
3,112.06667999999999,32.167073,48.242403
4,134.70770100000001,41.262305000000005,30.943555
5,122.701212,25.028459999999995,35.347266
6,132.99540700000003,27.85511,12.916166
7,117.38402900000001,34.966767,19.755012
8,74.64271999999998,36.137652,30.146404
9,131.182489,38.51814900000001,53.107915000000006
10,121.84991999999997,28.422445000000003,41.621486
