minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1062,7.631958818440993,3.1787568259098298,8.571042983358428
1063,7.684308734937904,2.991354416057571,8.614746494104171
1064,7.971322602039485,2.9446287843721355,9.050706789670958
1065,7.702565040474536,2.9578696724873708,12.070830593758453
1066,8.030420025510532,2.8885467032737955,13.60177437726559
1067,7.443481121265537,2.756379042031601,16.8832373467459
1068,7.589641681883453,2.8445149697510517,18.44226642630128
1069,8.00754721432123,2.7268883407832747,18.88586818110289
1070,7.966854821591476,2.75152491342212,17.580069079437365
1071,7.563690708818264,2.7924585169794134,19.22821490572497
1072,8.262567257433146,2.6852755988909056,22.348563241073574
