minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1062,19.127495458880027,7.955250134570837,20.626667903619914
1063,19.17286536889134,7.440128452693901,21.01291311590017
1064,19.41346098201905,7.101814834302251,22.189722672394865
1065,18.35217204270285,7.004694842283974,30.653829630445546
1066,19.12875999782348,6.733854289744584,33.640080551023
1067,17.517720175944238,6.3779164149863705,44.76321203594952
1068,18.119564047235006,6.861105308743188,45.86161781270158
1069,19.52921205205713,6.498043912097962,45.38343787157102
1070,19.67071037705129,6.819349083191863,44.71953154382998
1071,18.45414018411161,6.780723271190819,46.952348312312274
1072,19.637403446331902,6.343372859995861,54.613546445362694
