minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1062,2.4,1.15,0.06666666666666667
1063,2.566666666666667,1.1,0.55
1064,3.75,1.0666666666666667,0.31666666666666665
1065,2.316666666666667,0.95,0.9666666666666667
1066,2.816666666666667,1.25,0.6
1067,2.5833333333333335,0.7833333333333333,0.7
1068,2.7,0.85,0.25
1069,2.5166666666666666,1.1166666666666667,0.4
1070,1.55,1.1166666666666667,0.5666666666666667
1071,2.783333333333333,1.1666666666666667,1.0
1072,2.533333333333333,0.8833333333333333,0.7666666666666667
