minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1062,1.9298329833333336,0.6496303999999999,0.0526275
1063,2.0559049500000004,0.6069963166666668,0.4023597666666667
1064,2.970408533333333,0.5920602500000001,0.24560291666666664
1065,1.867778,0.5361178833333333,0.80404005
1066,2.2451283500000003,0.6877050833333335,0.5157259166666667
1067,2.0450202,0.41714099999999993,0.5891211
1068,2.216590116666667,0.4642518333333333,0.21526943333333334
1069,1.9564004833333335,0.58277945,0.3292502
1070,1.244045333333333,0.6022942,0.5024400666666666
1071,2.1863748166666666,0.6419691500000001,0.8851319166666668
1072,2.0308319999999993,0.4737074166666667,0.6936914333333333
