minutes,pyaes-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1087,14.94775478214349,11.810494740786599,10.132401602017133
1088,17.8073715986875,7.147032731410017,5.7088200893272445
1089,16.274375567641627,10.560762012161218,5.9754397124322995
1090,7.617585115577241,7.797784266901374,8.201642646654818
1091,13.84090568472556,11.79809900359676,7.812674219168748
1092,11.219140899191132,9.072288872109011,6.839630271200922
1093,8.637483210160076,8.440913084797266,5.049101089709813
1094,12.748674424494705,7.916635985173759,6.5661338818473665
1095,8.370233712338507,11.114990899884027,7.211949899190336
1096,5.1414260162268945,4.598079680776096,6.080672567529288
1097,2.527509968439126,3.0937393271029987,6.587461080574238
1098,11.339951559459351,8.326921998200731,5.860411524531089
1099,18.759573707215207,7.343981799393276,9.165173184636794
1100,1.1294515374887142,11.159498257635343,9.676494977609591
