minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1052,12.817899314984393,12.388014899538241,14.212425013580823
1053,11.621489181675575,10.048883795573042,10.55258467302846
1054,18.706621524642642,12.83952264190381,13.97545775590376
1055,9.945181255484801,11.934150485604134,12.124096994552877
1056,11.808386007749863,14.891517627460955,11.676316792074978
1057,9.009181102158893,12.821685605771059,8.736968989156583
1058,10.26803346246199,12.501202808684361,14.623901264770359
1059,11.072057487490909,10.337133121802792,16.25401137759252
1060,7.277207110919446,14.546198940116481,17.123998199823728
1061,6.0641694068388245,10.630510984336727,18.63557358230417
1062,5.429392084443948,8.296703447320048,16.378827607963675
1063,6.551739480342013,8.841239359974844,15.66954516553046
1064,5.769583734948489,5.054150369851807,10.267469553246931
1065,4.844323723238077,11.519228890780264,8.242858744169354
