minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1379,29.527378415399653,41.252394614890704,20.566278788653086,54.249461711784086
1380,29.93270188361162,44.54931146943221,19.21890210286043,55.45112725252934
1381,30.831766101087393,42.8428988695486,20.17046534198611,54.89887492257179
1382,31.396249584811784,44.30144834012692,21.394734030929218,56.36117997934948
1383,43.03996144078346,42.80749138132521,22.434333693303564,62.32083428658073
1384,31.114906246210502,43.33982109327795,20.146825656926755,53.9480424563561
1385,32.23037418584786,42.96564132406179,18.041345112289747,54.26994655614923
1386,42.733680100130265,44.934548088180705,21.227018313497457,62.238099779556954
1387,34.667933358282276,44.50919772229723,28.044893458192234,57.35034670326135
1388,33.98019777565215,43.218372361693916,24.50037646538543,57.2095920732648
1389,32.825674378505425,44.23120214934872,24.700824254382663,56.861248500882844
1390,40.127090889604546,44.81074364118623,19.921966248795684,60.52970717480609
1391,27.44133381049448,40.46695030043959,16.97323370571076,56.02259159391857
1392,32.29475930599612,43.4443646148994,31.396498215783115,57.56490990597929
1393,30.352373676157388,44.233356856758874,20.908132729628107,54.59346752141809
1394,29.12824156075518,41.28729904436267,21.057336416796684,53.882800842436474
1395,31.299085564622395,42.20679128399962,17.954175779525155,56.76523013712021
1396,32.84434508588112,44.48490690036317,19.22513212034392,57.86782193566868
1397,33.14055622338454,42.47068026015173,23.570028314542277,60.24358777961538
1398,35.40275220001464,44.652174414734205,18.994119340078324,59.23626184252482
1399,32.035968141623954,44.427625173607005,19.790397580073943,50.008546894947
1400,30.68116660994634,43.01879470493196,19.806092210966572,55.954466281991195
1401,28.71071295296704,42.26685246292791,18.6803339935735,52.322888982925036
1402,29.464468689792998,39.10284486262892,19.530240681731254,128.4666096026738
1403,30.49818621479651,42.65391316271445,27.46886858637176,
1404,393.9102958058007,398.85195993862334,,
