minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1271,26.43728931522687,4.769273195306525,6.405677484844989,73.09838558604703
1272,36.85203766805276,15.273943042640358,3.531002010770511,81.44513891982128
1273,17.137515383528594,26.678602653596016,17.250236700674144,50.59181436559358
1274,28.057408527786375,0.513251792807207,3.0604569391146343,88.72391904307317
1275,12.327456797763642,26.526646958718125,14.076468641503666,59.50015611532896
1276,32.972745608150085,15.355323603601626,3.1010250286127605,67.48474322352548
1277,38.461593955587375,0.9762092777098799,4.175828926090294,97.62766512355478
1278,19.57565127479214,11.049171613368422,20.60483140645538,63.885785631370894
1279,32.44627608257408,18.442505236711202,12.054472261174483,66.50597897625273
1280,20.575166502945084,24.567022182561814,17.127181556930747,68.98248507919945
1281,48.01394573449972,17.96331710042446,0.33170894675262047,84.98138045935234
