minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1271,8.983376969256174,5.890524229478776,7.3116915862825484,13.47490026814483
1272,9.723345462728988,6.17456357845144,6.505156671381098,13.888771155560715
1273,8.322627475101635,5.124627409310759,5.6295217106939015,11.913594518411697
1274,9.098486536223168,6.422259884410054,7.6384633848797945,14.837752349979757
1275,7.9808725248479675,5.42777756720295,5.641188671694892,12.370526166852457
1276,9.447721529815778,5.699492428459326,6.498908377549551,13.950675518950229
1277,9.837704533241096,6.725253652044772,7.602918110148125,13.795934558845753
1278,8.495857176023861,5.577020189185236,6.829529137599134,11.430629014888453
1279,9.410315838530487,5.666185159336116,6.261878579190175,12.661635700372225
1280,8.56687279277458,5.750460464125762,5.7916461182444525,11.93131093266488
1281,10.516399698549263,6.294901595466292,9.057070360305646,14.34937767321811
