minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1271,7.0322727876138025,7.4860977635388535,10.08921928567707,2.855740968259331
1272,4.785145776269616,5.440461507010556,8.659575074499436,5.025310539289403
1273,4.361226428195973,6.855764097332055,8.488699008675823,2.18431981594893
1274,5.815336362959565,8.49925217822911,12.218698591473636,2.825021154471845
1275,3.8599096719479378,5.735707541314559,7.861921720774433,3.9032917830942933
1276,6.47690478404109,6.678709539775747,7.925034137571852,2.2789297183356028
1277,4.6338338460524655,9.32187753516143,9.287810123221393,3.7647701488222785
1278,5.445208995839632,6.8328501311541,8.56469548373534,2.556584476138926
1279,5.3861600856658916,7.041246059413937,9.656303635494238,2.7357032257997638
1280,5.159748769918055,5.307042994712088,9.02895672117342,3.1534052269865276
1281,7.098660432562993,17.075574705840456,8.677679023415806,3.548992510948756
1282,,,,
