minute,perf_rapl,igpm,x_rest
1271,48.724000000000004,75.18677383563659,26.462773835636586
1272,48.98766666666666,76.24655194858875,27.258885281922073
1273,51.344166666666666,79.4769896815569,28.132823014890235
1274,51.29083333333333,79.63889452311378,28.348061189780445
1275,53.38783333333333,82.26663483893,28.878801505596666
1276,45.893166666666666,72.19556414270677,26.302397476040092
1277,51.437,79.73697414627821,28.29997414627821
1278,50.82566666666666,79.46248090535967,28.63681423869301
1279,54.626999999999995,84.39897722003211,29.77197722003211
1280,56.051,86.80935798643931,30.758357986439307
1281,48.399,75.8059305821708,27.406930582170812
1282,45.38875,70.82549068520503,25.436740685205027
