minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1271,18.114878100276723,55.71851922705971,20.10500319147985,53.2469474864728
1272,19.607016201925966,49.57234489340191,20.722512438062385,55.814499661736086
1273,16.782484215171838,42.899595801458766,17.77548264167157,46.32368120747958
1274,18.346995240737257,58.20867359532657,22.13842421201097,58.05353165314489
1275,16.093339221568847,42.98850351634032,18.457239988099364,49.06398409207187
1276,19.05122365717038,49.52472996382221,20.814875824710594,51.52012999436836
1277,19.83761997476968,57.93780193037789,20.583997121726213,60.7924208598534
1278,17.13179994869753,52.04421522360104,17.05488191020164,50.413051466358425
1279,18.97579550356972,47.7184517282836,18.89158517685904,51.21905145859969
1280,17.275002137034704,44.1350598268053,17.80191612600272,51.980851691265535
1281,21.206201102877742,69.01912410505516,21.40975281262831,56.90228604932948
