minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1379,9.15307141969448,11.125125786177305,8.47883134266024,16.113836292384416
1380,9.149965523654476,13.296690409165816,6.611398461102548,14.861652932120206
1381,9.124378772374444,12.07272175554038,7.934107699549745,14.396028254425465
1382,9.3265899593356,12.503803234413658,8.958639842359787,14.9086315207683
1383,21.641235208930375,8.778035310126993,10.043621381169899,18.606794084420553
1384,10.291981150217543,12.085073029049152,6.892767980748419,13.154048540144672
1385,12.250826583744852,12.337821584480883,5.923777783733699,13.935929319327201
1386,18.351372088220124,10.427154095750629,8.655073864743711,17.466020660355397
1387,12.171442425016432,11.037267192288828,14.419590946744275,14.171869075567674
1388,11.947007182891653,9.543711360044657,11.052066688854861,14.623838458886915
1389,11.595572295086678,11.771091740681644,11.194843765301789,13.736270926367983
1390,16.6316114527746,10.994934930889372,8.46091223992778,17.861566786933455
1391,8.229835352690037,10.75695879735475,5.563771543111574,17.915972250999236
1392,10.513839320997453,9.984189258444799,18.18819150627496,13.572479560809013
1393,8.941844192914347,11.372097034445376,8.823457281790253,13.270106059106674
1394,9.662483797167567,9.384415187377181,8.980279620462479,14.74460566808059
1395,10.22769538588122,11.712132642516023,5.562216278448986,16.11657326785368
1396,10.6301663091552,11.754368712517213,7.144854265736791,15.262605882932421
1397,11.888095223833888,8.811572020777596,11.37411607092983,18.533264164911554
1398,15.38816036925131,11.667063680815353,6.092341278374623,14.57986912712369
1399,10.403937525655103,14.177772334890738,7.767250914045446,10.884789369485802
1400,10.07632675102449,11.28267472801718,6.993959164225499,15.055613312618561
1401,8.398181914622551,13.471537972370662,6.723704310994848,14.539059687473666
1402,8.90150808777595,7.229488165445447,7.698663276349536,92.17154509642874
1403,9.319787137868799,9.39246675916461,15.064649373938032,
1404,365.2662816069306,414.7828669907202,,
