timestamp,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,load_avg_1minute,cpu_pct,cpu_pct_process
2023-09-19 17:04:50,4.755,0.792,4.83,0.704,11.081,3.42,,0
2023-09-19 17:04:51,4.755,0.792,4.73,0.704,11.022176470588235,3.42,,0
2023-09-19 17:04:52,4.755,0.792,4.83,0.704,11.049036529680365,3.42,,0
2023-09-19 17:04:53,4.755,0.792,4.73,0.704,11.022176470588237,3.42,1.0,0
2023-09-19 17:04:54,4.755,0.792,4.83,0.704,11.043388662507663,3.42,1.0,0
2023-09-19 17:04:55,4.755,0.792,4.73,0.704,11.022176470588235,3.3725,,0
2023-09-19 17:04:56,4.755,0.792,4.73,0.704,11.008714912193234,3.325,,0
2023-09-19 17:04:57,4.755,0.792,4.83,0.704,11.031727042025985,3.2775,,0
2023-09-19 17:04:58,4.755,0.792,4.73,0.704,11.01586900023184,3.23,0.0,0
2023-09-19 17:04:59,4.755,0.792,4.73,0.704,11.005104221815941,3.23,0.0,0
2023-09-19 17:05:00,4.755,0.792,4.73,0.704,10.9977270851755,3.185,,0
2023-09-19 17:05:01,4.755,0.792,4.73,0.704,10.992638527433709,3.1399999999999997,,0
2023-09-19 17:05:02,4.755,0.792,4.73,0.704,10.98911280886529,3.0949999999999998,,0
2023-09-19 17:05:03,4.755,0.792,4.73,0.704,10.986662346605264,3.05,0.0,0
2023-09-19 17:05:04,4.755,0.792,4.73,0.704,10.98495553945174,3.05,0.0,0
2023-09-19 17:05:05,4.755,0.792,4.73,0.704,10.983764920841658,3.0466666666666664,,0
2023-09-19 17:05:06,4.755,0.792,4.73,0.704,10.982933510474952,3.0433333333333334,,0
2023-09-19 17:05:08,4.753,0.792,4.73,0.704,10.981751532583596,3.04,0.0,0
2023-09-19 17:05:09,4.755,0.792,4.73,0.704,10.981525815516,3.04,0.0,0
2023-09-19 17:05:10,4.755,0.792,4.73,0.704,10.981367944892652,3.0,,0
2023-09-19 17:05:11,4.755,0.792,4.73,0.704,10.981257499736172,2.96,,0
2023-09-19 17:05:12,4.755,0.792,4.73,0.704,10.981180219600171,2.92,,0
2023-09-19 17:05:13,4.755,0.792,4.73,0.704,10.981126138918915,2.88,0.0,0
2023-09-19 17:05:14,4.755,0.792,4.73,0.704,10.981088289992096,2.88,0.0,0
2023-09-19 17:05:15,4.755,0.792,4.73,0.704,10.981061799441903,2.8425,,0
2023-09-19 17:05:16,4.755,0.792,4.73,0.704,10.981043257868746,2.8049999999999997,,0
2023-09-19 17:05:17,4.755,0.792,5.032,0.704,11.07163623358657,2.7675,,0
