seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,load_avg_1minute,cpu_pct,cpu_pct_process
61490,4.755,0.792,4.83,0.704,11.081,3.42,,0.0
61491,4.755,0.792,4.73,0.704,11.022176470588235,3.42,,0.0
61492,4.755,0.792,4.83,0.704,11.049036529680365,3.42,,0.0
61493,4.755,0.792,4.73,0.704,11.022176470588237,3.42,1.0,0.0
61494,4.755,0.792,4.83,0.704,11.043388662507663,3.42,1.0,0.0
61495,4.755,0.792,4.73,0.704,11.022176470588235,3.3725,,0.0
61496,4.755,0.792,4.73,0.704,11.008714912193234,3.325,,0.0
61497,4.755,0.792,4.83,0.704,11.031727042025985,3.2775,,0.0
61498,4.755,0.792,4.73,0.704,11.01586900023184,3.23,0.0,0.0
61499,4.755,0.792,4.73,0.704,11.005104221815941,3.23,0.0,0.0
61500,4.755,0.792,4.73,0.704,10.9977270851755,3.185,,0.0
61501,4.755,0.792,4.73,0.704,10.992638527433709,3.1399999999999997,,0.0
61502,4.755,0.792,4.73,0.704,10.98911280886529,3.0949999999999998,,0.0
61503,4.755,0.792,4.73,0.704,10.986662346605264,3.05,0.0,0.0
61504,4.755,0.792,4.73,0.704,10.98495553945174,3.05,0.0,0.0
61505,4.755,0.792,4.73,0.704,10.983764920841658,3.0466666666666664,,0.0
61506,4.755,0.792,4.73,0.704,10.982933510474952,3.0433333333333334,,0.0
61508,4.753,0.792,4.73,0.704,10.981751532583596,3.04,0.0,0.0
61509,4.755,0.792,4.73,0.704,10.981525815516,3.04,0.0,0.0
61510,4.755,0.792,4.73,0.704,10.981367944892652,3.0,,0.0
61511,4.755,0.792,4.73,0.704,10.981257499736172,2.96,,0.0
61512,4.755,0.792,4.73,0.704,10.981180219600171,2.92,,0.0
61513,4.755,0.792,4.73,0.704,10.981126138918915,2.88,0.0,0.0
61514,4.755,0.792,4.73,0.704,10.981088289992096,2.88,0.0,0.0
61515,4.755,0.792,4.73,0.704,10.981061799441903,2.8425,,0.0
61516,4.755,0.792,4.73,0.704,10.981043257868746,2.8049999999999997,,0.0
61517,4.755,0.792,5.032,0.704,11.07163623358657,2.7675,,0.0
61518,4.755,0.792,5.14,0.704,11.167449770804312,2.73,1.0,0.0
