timestamp,cpu_pct,cpu_time
2023-09-06 16:29:36.510380195,6.6,00:00:00
2023-09-06 16:29:37.510500815,6.1,00:00:00
2023-09-06 16:29:38.508018246,5.7,00:00:00
2023-09-06 16:29:39.508349575,5.3,00:00:00
2023-09-06 16:29:40.516389119,5,00:00:00
2023-09-06 16:29:41.514270327,4.7,00:00:00
2023-09-06 16:29:42.513361163,4.7,00:00:00
2023-09-06 16:29:43.513705812,4.5,00:00:00
2023-09-06 16:29:44.513170177,4.3,00:00:00
2023-09-06 16:29:45.514963116,4,00:00:00
2023-09-06 16:29:46.515261183,3.8,00:00:00
2023-09-06 16:29:47.515092785,3.7,00:00:00
2023-09-06 16:29:48.515794456,3.6,00:00:00
2023-09-06 16:29:49.515897357,3.6,00:00:00
2023-09-06 16:29:50.516526321,3.5,00:00:00
2023-09-06 16:29:51.52023174,3.4,00:00:00
2023-09-06 16:29:52.519555991,3.4,00:00:00
2023-09-06 16:29:53.518506274,3.3,00:00:00
2023-09-06 16:29:54.519706542,3.2,00:00:00
2023-09-06 16:29:55.519675249,3.2,00:00:00
2023-09-06 16:29:56.522319104,3.1,00:00:00
2023-09-06 16:29:57.522172324,3.1,00:00:00
2023-09-06 16:29:58.521635299,3,00:00:00
2023-09-06 16:29:59.523112236,3,00:00:00
2023-09-06 16:30:00.522415954,3,00:00:00
2023-09-06 16:30:01.523708913,2.9,00:00:01
2023-09-06 16:30:02.523771193,2.9,00:00:01
2023-09-06 16:30:03.524058617,2.9,00:00:01
2023-09-06 16:30:04.525960979,2.8,00:00:01
2023-09-06 16:30:05.526260949,2.8,00:00:01
2023-09-06 16:30:06.525516069,2.8,00:00:01
2023-09-06 16:30:07.526786673,2.8,00:00:01
2023-09-06 16:30:08.526835894,2.8,00:00:01
2023-09-06 16:30:09.52738762,2.7,00:00:01
2023-09-06 16:30:10.527708101,2.7,00:00:01
2023-09-06 16:30:11.528635523,2.7,00:00:01
2023-09-06 16:30:12.530581076,2.7,00:00:01
2023-09-06 16:30:13.530769347,2.6,00:00:01
2023-09-06 16:30:14.531044805,2.6,00:00:01
2023-09-06 16:30:15.531060991,2.6,00:00:01
2023-09-06 16:30:16.528113781,2.6,00:00:01
2023-09-06 16:30:17.534067355,2.6,00:00:01
2023-09-06 16:30:18.534457864,2.6,00:00:01
2023-09-06 16:30:19.5345306,2.5,00:00:01
2023-09-06 16:30:20.535137501,2.5,00:00:01
2023-09-06 16:30:21.535690547,2.5,00:00:01
2023-09-06 16:30:22.538237986,2.5,00:00:01
2023-09-06 16:30:23.538393344,2.5,00:00:01
2023-09-06 16:30:24.538288308,2.5,00:00:01
2023-09-06 16:30:25.534494455,2.5,00:00:01
2023-09-06 16:30:26.538810193,2.5,00:00:01
2023-09-06 16:30:27.53863091,2.5,00:00:01
2023-09-06 16:30:28.538856954,2.4,00:00:01
2023-09-06 16:30:29.539438085,2.4,00:00:01
2023-09-06 16:30:30.539780404,2.4,00:00:01
2023-09-06 16:30:31.53963121,2.4,00:00:01
2023-09-06 16:30:32.542314936,2.4,00:00:01
2023-09-06 16:30:33.542403292,2.4,00:00:01
2023-09-06 16:30:34.541548431,2.4,00:00:01
2023-09-06 16:30:35.543657412,2.4,00:00:01
2023-09-06 16:30:36.545515982,2.4,00:00:01
2023-09-06 16:30:37.546351905,2.4,00:00:01
2023-09-06 16:30:38.545521384,2.3,00:00:01
2023-09-06 16:30:39.550506205,2.3,00:00:01
2023-09-06 16:30:40.550205331,2.3,00:00:01
2023-09-06 16:30:41.550898527,2.3,00:00:01
2023-09-06 16:30:42.557349608,2.4,00:00:01
2023-09-06 16:30:43.556025103,2.3,00:00:01
2023-09-06 16:30:44.554793362,2.3,00:00:01
2023-09-06 16:30:45.555757746,2.3,00:00:01
2023-09-06 16:30:46.558814657,2.3,00:00:01
2023-09-06 16:30:47.558600541,2.4,00:00:01
2023-09-06 16:30:48.559323037,2.5,00:00:02
2023-09-06 16:30:49.560572886,2.6,00:00:02
2023-09-06 16:30:50.561890362,2.8,00:00:02
2023-09-06 16:30:51.560284467,2.9,00:00:02
2023-09-06 16:30:52.562376483,3,00:00:02
2023-09-06 16:30:53.561714149,3.2,00:00:02
2023-09-06 16:30:54.561586763,3.3,00:00:02
2023-09-06 16:30:55.568078605,3.4,00:00:03
2023-09-06 16:30:56.552868383,3.5,00:00:03
2023-09-06 16:30:57.568893624,3.5,00:00:03
2023-09-06 16:30:58.571202516,3.6,00:00:03
2023-09-06 16:30:59.559545194,3.6,00:00:03
2023-09-06 16:31:00.561659552,3.6,00:00:03
2023-09-06 16:31:01.557678461,3.7,00:00:03
2023-09-06 16:31:02.570669939,3.7,00:00:03
2023-09-06 16:31:03.561859885,3.7,00:00:03
2023-09-06 16:31:04.561905701,3.8,00:00:03
2023-09-06 16:31:05.565148692,3.8,00:00:03
2023-09-06 16:31:06.574174756,3.8,00:00:03
2023-09-06 16:31:07.562491065,3.8,00:00:03
2023-09-06 16:31:08.573173176,3.9,00:00:03
2023-09-06 16:31:09.574449392,3.9,00:00:04
2023-09-06 16:31:10.577492915,3.9,00:00:04
2023-09-06 16:31:11.578140906,3.9,00:00:04
2023-09-06 16:31:12.576922382,3.9,00:00:04
2023-09-06 16:31:13.5683813,4,00:00:04
2023-09-06 16:31:14.580035677,4,00:00:04
2023-09-06 16:31:15.578674537,4.1,00:00:04
2023-09-06 16:31:16.582402307,4.1,00:00:04
2023-09-06 16:31:17.582692386,4,00:00:04
2023-09-06 16:31:18.582997534,4.1,00:00:04
2023-09-06 16:31:19.583062926,4.1,00:00:04
2023-09-06 16:31:20.583373308,4.1,00:00:04
2023-09-06 16:31:21.583122613,4.1,00:00:04
2023-09-06 16:31:22.58013509,4.1,00:00:04
2023-09-06 16:31:23.569505792,4.1,00:00:04
2023-09-06 16:31:24.586563456,4.2,00:00:04
2023-09-06 16:31:25.585165038,4.2,00:00:04
2023-09-06 16:31:26.575379248,4.2,00:00:05
2023-09-06 16:31:27.587135988,4.2,00:00:05
2023-09-06 16:31:28.58751471,4.2,00:00:05
2023-09-06 16:31:29.587394572,4.2,00:00:05
2023-09-06 16:31:30.578408622,4.2,00:00:05
2023-09-06 16:31:31.576206893,4.2,00:00:05
2023-09-06 16:31:32.591562732,4.2,00:00:05
2023-09-06 16:31:33.591505283,4.3,00:00:05
2023-09-06 16:31:34.579525074,4.3,00:00:05
2023-09-06 16:31:35.592717114,4.3,00:00:05
2023-09-06 16:31:36.59409968,4.3,00:00:05
2023-09-06 16:31:37.594255747,4.3,00:00:05
2023-09-06 16:31:38.595254904,4.3,00:00:05
2023-09-06 16:31:39.59483669,4.3,00:00:05
2023-09-06 16:31:40.595679584,4.3,00:00:05
2023-09-06 16:31:41.595705749,4.3,00:00:05
2023-09-06 16:31:42.597395867,4.3,00:00:05
2023-09-06 16:31:43.598602606,4.3,00:00:05
2023-09-06 16:31:44.599326471,4.3,00:00:06
2023-09-06 16:31:45.590850943,4.4,00:00:06
2023-09-06 16:31:46.598534033,4.4,00:00:06
2023-09-06 16:31:47.603242369,4.4,00:00:06
2023-09-06 16:31:48.584259385,4.4,00:00:06
2023-09-06 16:31:49.602931618,4.4,00:00:06
2023-09-06 16:31:50.594123378,4.4,00:00:06
2023-09-06 16:31:51.586882279,4.5,00:00:06
2023-09-06 16:31:52.593983185,4.5,00:00:06
2023-09-06 16:31:53.596490195,4.5,00:00:06
2023-09-06 16:31:54.605108508,4.5,00:00:06
2023-09-06 16:31:55.609105395,4.5,00:00:06
2023-09-06 16:31:56.609871234,4.5,00:00:06
2023-09-06 16:31:57.597185952,4.5,00:00:06
2023-09-06 16:31:58.596930317,4.6,00:00:06
2023-09-06 16:31:59.597174367,4.6,00:00:07
2023-09-06 16:32:00.595739899,4.6,00:00:07
2023-09-06 16:32:01.611368435,4.6,00:00:07
