,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,343.904803,157.00367300000002,201.48969500000007,0.0
1,196.0,125.0,226.0,0.0
2,201.0,141.0,218.0,0.0
3,219.0,147.0,284.0,0.0
4,189.0,96.0,230.0,0.0
5,224.0,112.0,350.0,0.0
6,209.0,134.0,278.0,0.0
7,201.0,170.0,344.0,0.0
8,249.0,143.0,406.0,0.0
9,219.0,112.0,386.0,0.0
10,301.0,149.0,339.0,0.0
11,224.0,131.0,389.0,0.0
