,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,343.904803,157.00367300000002,201.48969500000007,0.0
1,140.576965,65.51244600000001,162.70214699999994,0.0
2,140.95865900000004,76.22447599999998,168.2054639999999,0.0
3,155.65424599999997,76.78119399999999,215.578465,0.0
4,132.74497300000004,51.269491,184.357695,0.0
5,163.33793699999998,59.790065999999996,279.93372300000004,0.0
6,148.93883399999999,72.96310600000001,229.35732799999997,0.0
7,142.63519300000004,89.64696399999997,284.09369599999997,0.0
8,179.52222699999996,79.04672299999999,325.50210200000004,0.0
9,157.441046,61.89900799999999,328.18229299999996,0.0
10,219.010199,81.86159000000002,282.600564,0.0
11,162.597803,71.40422500000004,332.43060099999997,0.0
