minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1058,5.731746716666667,2.6167278833333336,3.3581615833333345,0.0
1060,3.2666666666666666,2.0833333333333335,3.7666666666666666,0.0
1061,3.35,2.35,3.6333333333333333,0.0
1062,3.65,2.45,4.733333333333333,0.0
1063,3.15,1.6,3.8333333333333335,0.0
1064,3.7333333333333334,1.8666666666666667,5.833333333333333,0.0
1065,3.4833333333333334,2.2333333333333334,4.633333333333334,0.0
1066,3.35,2.8333333333333335,5.733333333333333,0.0
1067,4.15,2.3833333333333333,6.766666666666667,0.0
1068,3.65,1.8666666666666667,6.433333333333334,0.0
1069,5.016666666666667,2.4833333333333334,5.65,0.0
1070,3.7333333333333334,2.183333333333333,6.483333333333333,0.0
