minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1058,42.87130221978842,28.604833067919795,38.12642622208696,0.0
1060,43.362884382877546,29.10242431891378,59.78479478076731,0.0
1061,41.88685020588162,29.166277660450092,67.90734526404682,0.0
1062,39.899353274981856,26.417435570614774,68.28532002685822,0.0
1063,41.2169316505339,29.506203836356697,82.67107886980399,0.0
1064,36.45663168508632,24.71177568844249,74.8554167727007,0.0
1065,36.73339641353831,26.1541494444954,87.4858059845616,0.0
1066,34.51575984303857,24.2016105875342,79.59385486673682,0.0
1067,33.231558790615054,22.412999859820353,65.26228963297966,0.0
1068,34.32006707452815,23.022932692192654,84.90181699072683,0.0
1069,33.91567656613943,22.981964334907218,88.33114193685583,0.0
1070,,,,
