minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1058,27.830365147494216,14.105068944054716,17.243815720910945,0.0
1060,27.456410043376767,13.997108355118732,26.37371918315164,0.0
1061,27.122823566784277,14.345700765729736,30.63578360989636,0.0
1062,26.80903493581119,13.483093549879761,31.966693633497737,0.0
1063,26.438595699201034,14.376713905323594,36.946336057664475,0.0
1064,25.398890487032613,13.077529987920265,36.33427366594257,0.0
1065,25.029039993662714,13.53652763406111,41.531321398852434,0.0
1066,24.28146592266939,12.932583739053312,39.011445991230296,0.0
1067,23.97520206589686,12.282736014915521,32.804159483083986,0.0
1068,24.277692328482118,12.370962366273135,41.84381809146812,0.0
1069,24.29416184688309,12.504667500405839,44.082917138892924,0.0
1070,,,,
