minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1325,10.760360844110071,20.80626930287531,23.28505281608778
1326,11.007991036878408,18.024363989350395,24.945154303172792
1327,10.783367890391196,20.442485831358113,24.77570812968508
1328,9.754029267446235,19.0586315889695,24.40342839932114
1329,9.835854024051342,19.489567878744488,22.162958863391193
1330,10.139524189360918,21.00873074151391,24.577630940180125
1331,11.030382991069416,22.244495805690285,29.10103338655941
1332,10.027504588902136,22.055925783300705,23.442200341587004
1333,10.8469391181752,19.428451041654224,25.427471597052506
1334,10.512986542165523,21.71914294037937,23.5417992174319
1335,10.701812462832503,19.01111941508616,23.152511917681373
1336,9.811679011273286,19.649449717396966,26.821781603986746
1337,11.458246222811919,24.612236698050317,24.192723607635365
