,consumption,timestamp,exe,pid,container,fqdn
0,10063980.0,1693959961,,,,
1,6117321.0,1693959961,scaphandre,2090334.0,,
2,591998.0,1693959961,chrome,4511.0,,
3,591998.0,1693959961,chrome,4850.0,,
4,591998.0,1693959961,chrome,7373.0,,
5,394665.0,1693959961,chrome,4558.0,,
6,197332.0,1693959961,systemd-resolve,1465.0,,
7,197332.0,1693959961,dockerd,2277.0,,
8,197332.0,1693959961,chrome,4887.0,,
9,197332.0,1693959961,chrome,104468.0,,
10,197332.0,1693959961,termdown,1789716.0,,
11,197332.0,1693959961,chrome,1791428.0,,
12,197332.0,1693959961,htop,1807555.0,,
13,197332.0,1693959961,ilúvatar_worke,2089657.0,,
14,0.0,1693959961,systemd,1.0,,
15,0.0,1693959961,kthreadd,2.0,,
16,0.0,1693959961,rcu_gp,3.0,,
17,0.0,1693959961,rcu_par_gp,4.0,,
18,0.0,1693959961,slub_flushwq,5.0,,
19,0.0,1693959961,netns,6.0,,
20,0.0,1693959961,kworker/0:0H-events_highpri,8.0,,
21,0.0,1693959961,mm_percpu_wq,10.0,,
22,0.0,1693959961,rcu_tasks_rude_,11.0,,
23,0.0,1693959961,rcu_tasks_trace,12.0,,
24,0.0,1693959961,ksoftirqd/0,13.0,,
25,0.0,1693959961,rcu_sched,14.0,,
26,0.0,1693959961,migration/0,15.0,,
27,0.0,1693959961,idle_inject/0,16.0,,
28,0.0,1693959961,cpuhp/0,18.0,,
29,0.0,1693959961,cpuhp/1,19.0,,
30,0.0,1693959961,idle_inject/1,20.0,,
31,9671684.0,1693959963,,,,
32,7368902.0,1693959963,scaphandre,2090334.0,,
33,690834.0,1693959963,chrome,104468.0,,
34,460556.0,1693959963,chrome,4850.0,,
35,460556.0,1693959963,termdown,1789716.0,,
36,460556.0,1693959963,htop,1807555.0,,
37,460556.0,1693959963,ilúvatar_worke,2089657.0,,
38,230278.0,1693959963,rcu_sched,14.0,,
39,230278.0,1693959963,kworker/7:9-events,2078506.0,,
40,230278.0,1693959963,hwpc-sensor,2090315.0,,
41,0.0,1693959963,systemd,1.0,,
42,0.0,1693959963,kthreadd,2.0,,
43,0.0,1693959963,rcu_gp,3.0,,
44,0.0,1693959963,rcu_par_gp,4.0,,
45,0.0,1693959963,slub_flushwq,5.0,,
46,0.0,1693959963,netns,6.0,,
47,0.0,1693959963,kworker/0:0H-events_highpri,8.0,,
48,0.0,1693959963,mm_percpu_wq,10.0,,
49,0.0,1693959963,rcu_tasks_rude_,11.0,,
50,0.0,1693959963,rcu_tasks_trace,12.0,,
51,0.0,1693959963,ksoftirqd/0,13.0,,
52,0.0,1693959963,migration/0,15.0,,
53,0.0,1693959963,idle_inject/0,16.0,,
54,0.0,1693959963,cpuhp/0,18.0,,
55,0.0,1693959963,cpuhp/1,19.0,,
56,0.0,1693959963,idle_inject/1,20.0,,
57,0.0,1693959963,migration/1,21.0,,
58,0.0,1693959963,ksoftirqd/1,22.0,,
59,0.0,1693959963,kworker/1:0H-events_highpri,24.0,,
60,0.0,1693959963,cpuhp/2,25.0,,
61,0.0,1693959963,idle_inject/2,26.0,,
62,9339816.0,1693959964,,,,
63,7116050.0,1693959964,scaphandre,2090334.0,,
64,667129.0,1693959964,termdown,1789716.0,,
65,444753.0,1693959964,chrome,4850.0,,
66,444753.0,1693959964,htop,1807555.0,,
67,444753.0,1693959964,ilúvatar_worke,2089657.0,,
68,222376.0,1693959964,containerd,1622.0,,
69,222376.0,1693959964,chrome,104468.0,,
70,0.0,1693959964,systemd,1.0,,
71,0.0,1693959964,kthreadd,2.0,,
72,0.0,1693959964,rcu_gp,3.0,,
73,0.0,1693959964,rcu_par_gp,4.0,,
74,0.0,1693959964,slub_flushwq,5.0,,
75,0.0,1693959964,netns,6.0,,
76,0.0,1693959964,kworker/0:0H-events_highpri,8.0,,
77,0.0,1693959964,mm_percpu_wq,10.0,,
78,0.0,1693959964,rcu_tasks_rude_,11.0,,
79,0.0,1693959964,rcu_tasks_trace,12.0,,
80,0.0,1693959964,ksoftirqd/0,13.0,,
81,0.0,1693959964,rcu_sched,14.0,,
82,0.0,1693959964,migration/0,15.0,,
83,0.0,1693959964,idle_inject/0,16.0,,
84,0.0,1693959964,cpuhp/0,18.0,,
85,0.0,1693959964,cpuhp/1,19.0,,
86,0.0,1693959964,idle_inject/1,20.0,,
87,0.0,1693959964,migration/1,21.0,,
88,0.0,1693959964,ksoftirqd/1,22.0,,
89,0.0,1693959964,kworker/1:0H-events_highpri,24.0,,
90,0.0,1693959964,cpuhp/2,25.0,,
91,0.0,1693959964,idle_inject/2,26.0,,
92,0.0,1693959964,migration/2,27.0,,
93,9862149.0,1693959965,,,,
94,7568625.0,1693959965,scaphandre,2090334.0,,
95,917409.0,1693959965,chrome,4850.0,,
96,688056.0,1693959965,ilúvatar_worke,2089657.0,,
97,458704.0,1693959965,htop,1807555.0,,
98,229352.0,1693959965,thermald,1549.0,,
99,229352.0,1693959965,gnome-terminal-,3810.0,,
100,229352.0,1693959965,chrome,4511.0,,
101,229352.0,1693959965,chrome,104468.0,,
102,229352.0,1693959965,termdown,1789716.0,,
103,0.0,1693959965,systemd,1.0,,
104,0.0,1693959965,kthreadd,2.0,,
105,0.0,1693959965,rcu_gp,3.0,,
106,0.0,1693959965,rcu_par_gp,4.0,,
107,0.0,1693959965,slub_flushwq,5.0,,
108,0.0,1693959965,netns,6.0,,
109,0.0,1693959965,kworker/0:0H-events_highpri,8.0,,
110,0.0,1693959965,mm_percpu_wq,10.0,,
111,0.0,1693959965,rcu_tasks_rude_,11.0,,
112,0.0,1693959965,rcu_tasks_trace,12.0,,
113,0.0,1693959965,ksoftirqd/0,13.0,,
114,0.0,1693959965,rcu_sched,14.0,,
115,0.0,1693959965,migration/0,15.0,,
116,0.0,1693959965,idle_inject/0,16.0,,
117,0.0,1693959965,cpuhp/0,18.0,,
118,0.0,1693959965,cpuhp/1,19.0,,
119,0.0,1693959965,idle_inject/1,20.0,,
120,0.0,1693959965,migration/1,21.0,,
121,0.0,1693959965,ksoftirqd/1,22.0,,
122,0.0,1693959965,kworker/1:0H-events_highpri,24.0,,
123,0.0,1693959965,cpuhp/2,25.0,,
124,10287817.0,1693959967,,,,
125,7004471.0,1693959967,scaphandre,2090334.0,,
126,875558.0,1693959967,chrome,104468.0,,
127,656669.0,1693959967,chrome,4850.0,,
128,656669.0,1693959967,termdown,1789716.0,,
129,437779.0,1693959967,chrome,4511.0,,
130,437779.0,1693959967,chrome,4558.0,,
131,437779.0,1693959967,htop,1807555.0,,
132,218889.0,1693959967,jbd2/nvme0n1p2-,315.0,,
133,218889.0,1693959967,chrome,4700.0,,
134,218889.0,1693959967,chrome,1120495.0,,
135,218889.0,1693959967,ilúvatar_worke,2089657.0,,
136,0.0,1693959967,systemd,1.0,,
137,0.0,1693959967,kthreadd,2.0,,
138,0.0,1693959967,rcu_gp,3.0,,
139,0.0,1693959967,rcu_par_gp,4.0,,
140,0.0,1693959967,slub_flushwq,5.0,,
141,0.0,1693959967,netns,6.0,,
142,0.0,1693959967,kworker/0:0H-events_highpri,8.0,,
143,0.0,1693959967,mm_percpu_wq,10.0,,
144,0.0,1693959967,rcu_tasks_rude_,11.0,,
145,0.0,1693959967,rcu_tasks_trace,12.0,,
146,0.0,1693959967,ksoftirqd/0,13.0,,
147,0.0,1693959967,rcu_sched,14.0,,
148,0.0,1693959967,migration/0,15.0,,
149,0.0,1693959967,idle_inject/0,16.0,,
150,0.0,1693959967,cpuhp/0,18.0,,
151,0.0,1693959967,cpuhp/1,19.0,,
152,0.0,1693959967,idle_inject/1,20.0,,
153,0.0,1693959967,migration/1,21.0,,
154,0.0,1693959967,ksoftirqd/1,22.0,,
155,9419743.0,1693959968,,,,
156,7351994.0,1693959968,scaphandre,2090334.0,,
157,459499.0,1693959968,chrome,4850.0,,
158,459499.0,1693959968,htop,1807555.0,,
159,459499.0,1693959968,ilúvatar_worke,2089657.0,,
160,229749.0,1693959968,gnome-terminal-,3810.0,,
161,229749.0,1693959968,chrome,4511.0,,
162,229749.0,1693959968,chrome,4558.0,,
163,229749.0,1693959968,chrome,104468.0,,
164,229749.0,1693959968,chrome,303934.0,,
165,229749.0,1693959968,termdown,1789716.0,,
166,0.0,1693959968,systemd,1.0,,
167,0.0,1693959968,kthreadd,2.0,,
168,0.0,1693959968,rcu_gp,3.0,,
169,0.0,1693959968,rcu_par_gp,4.0,,
170,0.0,1693959968,slub_flushwq,5.0,,
171,0.0,1693959968,netns,6.0,,
172,0.0,1693959968,kworker/0:0H-events_highpri,8.0,,
173,0.0,1693959968,mm_percpu_wq,10.0,,
174,0.0,1693959968,rcu_tasks_rude_,11.0,,
175,0.0,1693959968,rcu_tasks_trace,12.0,,
176,0.0,1693959968,ksoftirqd/0,13.0,,
177,0.0,1693959968,rcu_sched,14.0,,
178,0.0,1693959968,migration/0,15.0,,
179,0.0,1693959968,idle_inject/0,16.0,,
180,0.0,1693959968,cpuhp/0,18.0,,
181,0.0,1693959968,cpuhp/1,19.0,,
182,0.0,1693959968,idle_inject/1,20.0,,
183,0.0,1693959968,migration/1,21.0,,
184,0.0,1693959968,ksoftirqd/1,22.0,,
185,0.0,1693959968,kworker/1:0H-events_highpri,24.0,,
186,9897811.0,1693959969,,,,
187,7776851.0,1693959969,scaphandre,2090334.0,,
188,471324.0,1693959969,chrome,4850.0,,
189,471324.0,1693959969,chrome,104468.0,,
190,471324.0,1693959969,termdown,1789716.0,,
191,471324.0,1693959969,ilúvatar_worke,2089657.0,,
192,235662.0,1693959969,perf,2090248.0,,
193,0.0,1693959969,systemd,1.0,,
194,0.0,1693959969,kthreadd,2.0,,
195,0.0,1693959969,rcu_gp,3.0,,
196,0.0,1693959969,rcu_par_gp,4.0,,
197,0.0,1693959969,slub_flushwq,5.0,,
