minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,1.6,4.683333333333334,1.8166666666666667
1324,0.9,3.783333333333333,3.816666666666667
1325,1.6666666666666667,6.066666666666666,3.0166666666666666
1326,1.5333333333333334,5.066666666666666,2.35
1327,2.0,4.783333333333333,3.5833333333333335
1328,1.0833333333333333,5.316666666666666,2.6166666666666667
1329,1.4333333333333333,4.433333333333334,1.7
1330,1.5833333333333333,5.8,2.15
1331,1.4833333333333334,6.416666666666667,3.2333333333333334
1332,1.7833333333333334,4.9,3.8
1333,0.9666666666666667,3.966666666666667,0.9333333333333333
