,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
0,60.45351899999998,246.966204,93.987251
1,38.44187300000001,207.570344,210.49205800000001
2,69.65372900000001,331.148095,160.53152400000002
3,61.12312499999999,268.57523499999996,122.04282900000003
4,83.77083399999998,259.125135,193.378896
5,44.97280399999998,284.913603,135.850945
6,53.46829999999998,237.97173699999996,84.79775899999999
7,61.83508399999999,309.0359289999999,111.06344300000002
8,60.593524999999985,349.462248,170.73164599999998
9,73.122423,260.811444,205.83274200000002
10,39.254247,216.19377100000003,50.32771199999999
