minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,1.0075586499999996,4.1161034,1.5664541833333334
1324,0.6406978833333334,3.459505733333333,3.5082009666666667
1325,1.1608954833333336,5.519134916666667,2.6755254
1326,1.01871875,4.476253916666666,2.0340471500000006
1327,1.3961805666666662,4.31875225,3.2229816
1328,0.749546733333333,4.74856005,2.2641824166666664
1329,0.8911383333333329,3.966195616666666,1.4132959833333332
1330,1.0305847333333331,5.1505988166666645,1.8510573833333337
1331,1.0098920833333331,5.8243708,2.845527433333333
1332,1.21870705,4.3468574,3.4305457000000006
1333,0.65423745,3.603229516666667,0.8387951999999999
