minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,4.815005173869357,5.5874003863254575,4.91102899711196
1324,4.53002020045729,4.69776265779659,4.714048100529396
1325,5.050811170870407,6.692564593834317,5.548455386763474
1326,4.890788884984976,5.969025162565189,5.173688456025863
1327,5.266120385565154,6.461544420210232,5.93636465460782
1328,4.823615914702223,6.237103432222713,5.3418832383902615
1329,4.7447113259467555,5.368515812965701,4.801340386749055
1330,4.880552262889131,6.103746152174962,5.085276535333591
1331,4.9516628557018425,6.749626406596041,5.587962941972399
1332,5.221264934909382,6.74052403522367,6.240652934653821
1333,4.154955651994841,3.260146629099361,4.176245198617689
