minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,16.559709954556716,22.73951224142692,15.954291374023244
1324,10.25381968657046,15.209539368633921,21.9016377917953
1325,15.335099777080792,23.89842275719087,20.890850273668782
1326,14.867515064027108,22.636436435621878,18.55647980313607
1327,15.409802829073069,17.648791289427855,19.47620601207813
1328,12.603735218946506,23.86077123882307,19.779695963640755
1329,16.235079185187065,22.505876919216508,15.205630349297445
1330,15.303620733321374,24.03355021142436,16.475876992973205
1331,13.305465941398795,25.28054535218477,21.07802600722206
1332,14.482501853767813,20.083778155098663,22.513288134541305
1333,13.077942191182245,19.157422513133692,10.186037843164915
