minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,28.40780889952496,42.60157844554701,27.67554163721092
1324,16.185741534597973,27.23574135633798,39.55762812224249
1325,24.01488920297799,42.45872256292144,36.18769364696706
1326,24.218191021940598,42.07546009489951,32.93974969200554
1327,26.317618564023558,33.2752090545025,35.51888828939184
1328,20.038428461899734,44.08118691547884,34.722097953635895
1329,28.453536183680498,43.11674463627378,26.902174129903322
1330,25.807054278585817,45.02879787729817,28.622172709323134
1331,20.125649395379092,45.55799459315865,36.13832370928131
1332,23.12712694626501,37.10719045359141,39.77841284674296
1333,24.30216564614823,38.98430315877631,17.560163947633253
