,consumption,timestamp,exe,pid,container
42,0.0,1693268534,kworker/0:0H-kblockd,6.0,
43,0.0,1693268534,mm_percpu_wq,9.0,
44,0.0,1693268534,ksoftirqd/0,10.0,
45,0.0,1693268534,migration/0,12.0,
46,0.0,1693268534,idle_inject/0,13.0,
47,0.0,1693268534,cpuhp/0,15.0,
48,0.0,1693268534,cpuhp/1,16.0,
49,0.0,1693268534,idle_inject/1,17.0,
50,0.0,1693268534,migration/1,18.0,
51,0.0,1693268534,ksoftirqd/1,19.0,
52,0.0,1693268534,kworker/1:0H-kblockd,21.0,
53,0.0,1693268534,cpuhp/2,22.0,
54,0.0,1693268534,idle_inject/2,23.0,
55,0.0,1693268534,migration/2,24.0,
56,0.0,1693268534,ksoftirqd/2,25.0,
57,0.0,1693268534,kworker/2:0H-kblockd,27.0,
58,0.0,1693268534,cpuhp/3,28.0,
59,0.0,1693268534,idle_inject/3,29.0,
60,0.0,1693268534,migration/3,30.0,
61,0.0,1693268534,ksoftirqd/3,31.0,
62,36996384.0,1693268536,,,
63,30672216.0,1693268536,scaphandre,1297803.0,
64,1581042.0,1693268536,htop,1026882.0,
65,948625.0,1693268536,ilúvatar_worke,1297132.0,
66,632416.0,1693268536,perf,1297708.0,
67,316208.0,1693268536,hwpc-sensor,1297777.0,
68,0.0,1693268536,systemd,1.0,
69,0.0,1693268536,kthreadd,2.0,
70,0.0,1693268536,rcu_gp,3.0,
71,0.0,1693268536,rcu_par_gp,4.0,
72,0.0,1693268536,kworker/0:0H-kblockd,6.0,
73,0.0,1693268536,mm_percpu_wq,9.0,
74,0.0,1693268536,ksoftirqd/0,10.0,
75,0.0,1693268536,rcu_sched,11.0,
76,0.0,1693268536,migration/0,12.0,
77,0.0,1693268536,idle_inject/0,13.0,
78,0.0,1693268536,cpuhp/0,15.0,
79,0.0,1693268536,cpuhp/1,16.0,
80,0.0,1693268536,idle_inject/1,17.0,
81,0.0,1693268536,migration/1,18.0,
82,0.0,1693268536,ksoftirqd/1,19.0,
83,0.0,1693268536,kworker/1:0H-kblockd,21.0,
84,0.0,1693268536,cpuhp/2,22.0,
85,0.0,1693268536,idle_inject/2,23.0,
86,0.0,1693268536,migration/2,24.0,
87,0.0,1693268536,ksoftirqd/2,25.0,
88,0.0,1693268536,kworker/2:0H-kblockd,27.0,
89,0.0,1693268536,cpuhp/3,28.0,
90,0.0,1693268536,idle_inject/3,29.0,
91,0.0,1693268536,migration/3,30.0,
92,0.0,1693268536,ksoftirqd/3,31.0,
93,36644140.0,1693268538,,,
94,30642082.0,1693268538,scaphandre,1297803.0,
95,1579488.0,1693268538,htop,1026882.0,
96,1263591.0,1693268538,ilúvatar_worke,1297132.0,
97,315897.0,1693268538,rcu_sched,11.0,
98,315897.0,1693268538,ksoftirqd/10,73.0,
99,315897.0,1693268538,irqbalance,2431.0,
100,315897.0,1693268538,perf,1297708.0,
101,315897.0,1693268538,hwpc-sensor,1297777.0,
102,0.0,1693268538,systemd,1.0,
103,0.0,1693268538,kthreadd,2.0,
104,0.0,1693268538,rcu_gp,3.0,
105,0.0,1693268538,rcu_par_gp,4.0,
106,0.0,1693268538,kworker/0:0H-kblockd,6.0,
107,0.0,1693268538,mm_percpu_wq,9.0,
108,0.0,1693268538,ksoftirqd/0,10.0,
109,0.0,1693268538,migration/0,12.0,
110,0.0,1693268538,idle_inject/0,13.0,
111,0.0,1693268538,cpuhp/0,15.0,
112,0.0,1693268538,cpuhp/1,16.0,
113,0.0,1693268538,idle_inject/1,17.0,
114,0.0,1693268538,migration/1,18.0,
115,0.0,1693268538,ksoftirqd/1,19.0,
116,0.0,1693268538,kworker/1:0H-kblockd,21.0,
117,0.0,1693268538,cpuhp/2,22.0,
118,0.0,1693268538,idle_inject/2,23.0,
119,0.0,1693268538,migration/2,24.0,
120,0.0,1693268538,ksoftirqd/2,25.0,
121,0.0,1693268538,kworker/2:0H-kblockd,27.0,
122,0.0,1693268538,cpuhp/3,28.0,
123,0.0,1693268538,idle_inject/3,29.0,
124,36942970.0,1693268540,,,
125,29734584.0,1693268540,scaphandre,1297803.0,
126,2703144.0,1693268540,htop,1026882.0,
127,1201397.0,1693268540,ilúvatar_worke,1297132.0,
128,300349.0,1693268540,perf,1297708.0,
129,0.0,1693268540,systemd,1.0,
130,0.0,1693268540,kthreadd,2.0,
131,0.0,1693268540,rcu_gp,3.0,
132,0.0,1693268540,rcu_par_gp,4.0,
133,0.0,1693268540,kworker/0:0H-kblockd,6.0,
134,0.0,1693268540,mm_percpu_wq,9.0,
135,0.0,1693268540,ksoftirqd/0,10.0,
136,0.0,1693268540,rcu_sched,11.0,
137,0.0,1693268540,migration/0,12.0,
138,0.0,1693268540,idle_inject/0,13.0,
139,0.0,1693268540,cpuhp/0,15.0,
140,0.0,1693268540,cpuhp/1,16.0,
141,0.0,1693268540,idle_inject/1,17.0,
142,0.0,1693268540,migration/1,18.0,
143,0.0,1693268540,ksoftirqd/1,19.0,
144,0.0,1693268540,kworker/1:0H-kblockd,21.0,
145,0.0,1693268540,cpuhp/2,22.0,
146,0.0,1693268540,idle_inject/2,23.0,
147,0.0,1693268540,migration/2,24.0,
148,0.0,1693268540,ksoftirqd/2,25.0,
149,0.0,1693268540,kworker/2:0H-kblockd,27.0,
150,0.0,1693268540,cpuhp/3,28.0,
151,0.0,1693268540,idle_inject/3,29.0,
152,0.0,1693268540,migration/3,30.0,
153,0.0,1693268540,ksoftirqd/3,31.0,
154,0.0,1693268540,kworker/3:0H-kblockd,33.0,
155,36995530.0,1693268542,,,
156,30411578.0,1693268542,scaphandre,1297803.0,
157,1881128.0,1693268542,htop,1026882.0,
158,1254085.0,1693268542,ilúvatar_worke,1297132.0,
159,313521.0,1693268542,rcu_sched,11.0,
160,313521.0,1693268542,rsyslogd,2443.0,
161,313521.0,1693268542,kworker/0:0-events,1290017.0,
162,313521.0,1693268542,perf,1297708.0,
163,313521.0,1693268542,hwpc-sensor,1297777.0,
164,0.0,1693268542,systemd,1.0,
165,0.0,1693268542,kthreadd,2.0,
166,0.0,1693268542,rcu_gp,3.0,
167,0.0,1693268542,rcu_par_gp,4.0,
168,0.0,1693268542,kworker/0:0H-kblockd,6.0,
169,0.0,1693268542,mm_percpu_wq,9.0,
170,0.0,1693268542,ksoftirqd/0,10.0,
171,0.0,1693268542,migration/0,12.0,
172,0.0,1693268542,idle_inject/0,13.0,
173,0.0,1693268542,cpuhp/0,15.0,
174,0.0,1693268542,cpuhp/1,16.0,
175,0.0,1693268542,idle_inject/1,17.0,
176,0.0,1693268542,migration/1,18.0,
177,0.0,1693268542,ksoftirqd/1,19.0,
178,0.0,1693268542,kworker/1:0H-kblockd,21.0,
179,0.0,1693268542,cpuhp/2,22.0,
180,0.0,1693268542,idle_inject/2,23.0,
181,0.0,1693268542,migration/2,24.0,
182,0.0,1693268542,ksoftirqd/2,25.0,
183,0.0,1693268542,kworker/2:0H-kblockd,27.0,
184,0.0,1693268542,cpuhp/3,28.0,
185,0.0,1693268542,idle_inject/3,29.0,
186,37124220.0,1693268544,,,
187,30778198.0,1693268544,scaphandre,1297803.0,
188,1586505.0,1693268544,htop,1026882.0,
189,634602.0,1693268544,ilúvatar_worke,1297132.0,
190,634602.0,1693268544,perf,1297708.0,
191,317301.0,1693268544,hwpc-sensor,1297777.0,
192,0.0,1693268544,systemd,1.0,
193,0.0,1693268544,kthreadd,2.0,
194,0.0,1693268544,rcu_gp,3.0,
195,0.0,1693268544,rcu_par_gp,4.0,
196,0.0,1693268544,kworker/0:0H-kblockd,6.0,
197,0.0,1693268544,mm_percpu_wq,9.0,
198,0.0,1693268544,ksoftirqd/0,10.0,
199,0.0,1693268544,rcu_sched,11.0,
200,0.0,1693268544,migration/0,12.0,
201,0.0,1693268544,idle_inject/0,13.0,
202,0.0,1693268544,cpuhp/0,15.0,
203,0.0,1693268544,cpuhp/1,16.0,
204,0.0,1693268544,idle_inject/1,17.0,
205,0.0,1693268544,migration/1,18.0,
206,0.0,1693268544,ksoftirqd/1,19.0,
207,0.0,1693268544,kworker/1:0H-kblockd,21.0,
208,0.0,1693268544,cpuhp/2,22.0,
209,0.0,1693268544,idle_inject/2,23.0,
210,0.0,1693268544,migration/2,24.0,
211,0.0,1693268544,ksoftirqd/2,25.0,
212,0.0,1693268544,kworker/2:0H-kblockd,27.0,
213,0.0,1693268544,cpuhp/3,28.0,
214,0.0,1693268544,idle_inject/3,29.0,
215,0.0,1693268544,migration/3,30.0,
216,0.0,1693268544,ksoftirqd/3,31.0,
217,36743056.0,1693268546,,,
218,29700636.0,1693268546,scaphandre,1297803.0,
219,1530960.0,1693268546,htop,1026882.0,
220,1224768.0,1693268546,ilúvatar_worke,1297132.0,
221,612384.0,1693268546,perf,1297708.0,
222,306192.0,1693268546,rcu_sched,11.0,
223,306192.0,1693268546,hwpc-sensor,1297777.0,
224,0.0,1693268546,systemd,1.0,
225,0.0,1693268546,kthreadd,2.0,
226,0.0,1693268546,rcu_gp,3.0,
227,0.0,1693268546,rcu_par_gp,4.0,
228,0.0,1693268546,kworker/0:0H-kblockd,6.0,
229,0.0,1693268546,mm_percpu_wq,9.0,
230,0.0,1693268546,ksoftirqd/0,10.0,
231,0.0,1693268546,migration/0,12.0,
232,0.0,1693268546,idle_inject/0,13.0,
233,0.0,1693268546,cpuhp/0,15.0,
234,0.0,1693268546,cpuhp/1,16.0,
235,0.0,1693268546,idle_inject/1,17.0,
236,0.0,1693268546,migration/1,18.0,
237,0.0,1693268546,ksoftirqd/1,19.0,
238,0.0,1693268546,kworker/1:0H-kblockd,21.0,
239,0.0,1693268546,cpuhp/2,22.0,
240,0.0,1693268546,idle_inject/2,23.0,
241,0.0,1693268546,migration/2,24.0,
242,0.0,1693268546,ksoftirqd/2,25.0,
243,0.0,1693268546,kworker/2:0H-kblockd,27.0,
244,0.0,1693268546,cpuhp/3,28.0,
245,0.0,1693268546,idle_inject/3,29.0,
246,0.0,1693268546,migration/3,30.0,
247,0.0,1693268546,ksoftirqd/3,31.0,
248,37152440.0,1693268548,,,
249,29299080.0,1693268548,scaphandre,1297803.0,
250,2718471.0,1693268548,htop,1026882.0,
251,1208209.0,1693268548,ilúvatar_worke,1297132.0,
252,302052.0,1693268548,multipathd,1368.0,
253,302052.0,1693268548,perf,1297708.0,
254,302052.0,1693268548,hwpc-sensor,1297777.0,
255,0.0,1693268548,systemd,1.0,
256,0.0,1693268548,kthreadd,2.0,
257,0.0,1693268548,rcu_gp,3.0,
258,0.0,1693268548,rcu_par_gp,4.0,
259,0.0,1693268548,kworker/0:0H-kblockd,6.0,
260,0.0,1693268548,mm_percpu_wq,9.0,
261,0.0,1693268548,ksoftirqd/0,10.0,
262,0.0,1693268548,rcu_sched,11.0,
263,0.0,1693268548,migration/0,12.0,
264,0.0,1693268548,idle_inject/0,13.0,
265,0.0,1693268548,cpuhp/0,15.0,
266,0.0,1693268548,cpuhp/1,16.0,
267,0.0,1693268548,idle_inject/1,17.0,
268,0.0,1693268548,migration/1,18.0,
269,0.0,1693268548,ksoftirqd/1,19.0,
270,0.0,1693268548,kworker/1:0H-kblockd,21.0,
271,0.0,1693268548,cpuhp/2,22.0,
272,0.0,1693268548,idle_inject/2,23.0,
273,0.0,1693268548,migration/2,24.0,
274,0.0,1693268548,ksoftirqd/2,25.0,
275,0.0,1693268548,kworker/2:0H-kblockd,27.0,
276,0.0,1693268548,cpuhp/3,28.0,
277,0.0,1693268548,idle_inject/3,29.0,
278,0.0,1693268548,migration/3,30.0,
279,36767704.0,1693268550,,,
