minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,7.469629277638352,20.942781497542725,17.28234538447243
1071,6.945107490242611,20.872404655020166,13.094938495251778
1072,6.805732996442681,20.463041526398303,16.85827943130577
1073,7.3251870578909175,21.010070838667634,19.902009220592312
1074,10.03194121523488,23.61044437022392,24.818771173798105
1075,6.962719026036323,21.232036188327115,24.402875058418523
1076,7.510752938981554,22.573012775201573,25.565196260745815
1077,7.390746951472526,20.25297131842541,26.541054406598057
1078,7.904990884931937,19.306734856833877,31.96286921179109
1079,10.435133041689433,22.831146122228965,37.46740450295834
1080,6.457677546603749,18.110370096083408,20.863242310306873
1081,5.918998020794693,12.37090481806501,7.986310935037147
