minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,14.059504337966626,19.27263819745705,29.964964581007884
1071,12.778939362706613,22.77523105923021,21.69569607103371
1072,14.127830148372835,23.996985831924743,25.696799668141438
1073,16.067021394149975,23.435723192380433,30.853916663066837
1074,23.64374760620242,28.920920817790158,36.283170994937265
1075,16.389181515930307,25.631318644787275,36.81190420114878
1076,17.07472216604289,25.108386995237215,41.258858338640046
1077,17.22770555913706,20.00597680681983,44.78449281727383
1078,18.525115513042106,20.402387176657413,55.452607639597524
1079,24.899993890826103,22.573684729848985,66.01284011315875
1080,14.617651807140383,16.288296750186127,38.78027415674052
1081,14.597686146181609,11.003147937913917,15.223092192167567
