minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,11.678790270352815,21.5787601848763,19.035980810490376
1071,11.10189215187498,22.299590941429877,14.068968751091907
1072,11.75951851979815,21.459116210459708,18.4595414151036
1073,12.612390401463418,21.773184387688215,21.792157164386225
1074,17.900262026244583,25.867920200115275,27.13000266904887
1075,12.22884033763473,22.404368551198704,27.512063414198533
1076,12.806477161830356,22.96258988754251,30.753395094140615
1077,12.852409604086617,19.640684967923885,32.6470168443909
1078,13.701438207802456,18.908933700655915,40.82335575904919
1079,17.451807943089342,22.12849913323207,49.921116430489555
1080,10.741151816349275,16.465662878365393,27.761959137185066
1081,10.518655548910262,10.849146831749728,10.929362205094376
