minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,4.543387941500318,5.707166371217852,8.140580397672911
1071,4.407331398177046,7.012334058045702,5.709462106506591
1072,5.033428270868526,6.099517314209085,6.546659534831877
1073,5.4856776815377195,5.556832620545954,7.091230037900368
1074,7.975519162791279,6.598482051552881,8.412441672061545
1075,5.138124557290701,5.471410148153419,7.454519858515496
1076,5.674753893244628,5.335921858363529,8.401117426038264
1077,5.153484842516586,4.2864073938685445,8.413032784194007
1078,5.560634183820894,3.520159597341216,10.59881619855583
1079,7.1279465069434735,3.561374307712038,13.349713126729007
1080,4.278053528641562,2.644684763688667,7.210209279179377
1081,4.286795718137139,1.9142351066321643,3.3661488904777683
