,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
0,49.262251,71.48220099999999,109.56680099999998
1,63.196449,58.848518000000006,101.23096
2,53.935947999999996,86.63446700000001,139.075151
3,49.407777999999986,56.606092000000004,165.31525499999998
4,82.56770300000001,79.388762,263.6054710000001
5,62.971463000000014,108.73699000000002,182.586219
6,46.37969699999998,97.492961,242.13681799999995
7,40.726159,99.761525,237.4972590000001
8,57.52731,85.24926800000001,218.32529699999995
9,79.17112200000001,87.30353000000002,372.9665279999999
10,63.765139000000005,66.57291899999998,166.930423
11,11.162464,12.810176,15.026069999999999
