minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,1.6833333333333333,1.9833333333333334,2.6166666666666667
1071,2.2666666666666666,1.7,2.4833333333333334
1072,1.9333333333333333,2.3,3.2
1073,1.8,1.5166666666666666,3.65
1074,2.4166666666666665,2.1166666666666667,5.433333333333334
1075,2.1166666666666667,2.8666666666666667,3.75
1076,1.65,2.433333333333333,4.833333333333333
1077,1.4166666666666667,2.533333333333333,4.766666666666667
1078,2.033333333333333,2.3333333333333335,4.216666666666667
1079,2.15,2.25,7.0
1080,2.15,1.7833333333333334,3.6666666666666665
1081,0.45,0.35,0.36666666666666664
