minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,0.8210375166666667,1.1913700166666665,1.8261133499999997
1071,1.05327415,0.9808086333333335,1.6871826666666665
1072,0.8989324666666666,1.4439077833333336,2.3179191833333332
1073,0.8234629666666664,0.9434348666666668,2.7552542499999997
1074,1.3761283833333335,1.3231460333333334,4.393424516666668
1075,1.0495243833333336,1.812283166666667,3.04310365
1076,0.7729949499999996,1.6248826833333332,4.035613633333332
1077,0.6787693166666667,1.6626920833333334,3.9582876500000017
1078,0.9587885,1.4208211333333336,3.638754949999999
1079,1.3195187000000002,1.4550588333333336,6.216108799999999
1080,1.0627523166666668,1.1095486499999998,2.7821737166666667
1081,0.18604106666666667,0.21350293333333334,0.2504345
