minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1
1060,29.05064005405287,20.537318685328813,11.154958055059003
1061,27.569675254496794,23.657154817040325,14.047604458876693
1062,24.848339256343476,30.54528591794199,19.768090574520297
1063,26.857772154185156,29.746712256846877,14.798384364820134
1064,26.962668821067105,36.51049210561366,15.732885085271391
1065,29.58657012428691,48.682137718567425,13.945294279726967
1066,31.15932857570406,41.85094852347936,17.73673069206233
1067,30.40812970387724,43.848226617201945,15.265673766303342
1068,35.58361414209523,51.79414863240012,12.87221468287416
1069,33.07290903131626,48.73575710397254,16.25805725508826
1070,47.137654047082776,42.608056625891145,14.310628925753331
1071,37.689071940042034,50.39754610923444,12.804400387065533
