,2_pyaes_1500-0-0.0.1,3_pyaes_1000-0-0.0.1,4_pyaes_500-0-0.0.1,5_pyaes_250-0-0.0.1
0,71.0,111.0,164.0,327.0
1,75.0,91.0,160.0,302.0
2,109.0,101.0,153.0,277.0
3,89.0,86.0,148.0,286.0
4,45.0,110.0,131.0,252.0
