timestamp,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,cpu_time_process,x_rest
2023-08-23 19:24:57.008014,20.92,8.33,116124137.0,152.0,109531705494,33838402,0.1343868,8,45.505572,4.92,1.0,5.6,00:00:00,131.07999999999998
2023-08-23 19:24:58.015317,29.07,21.01,2327729160.0,127.0,109565543896,43118300,0.15106516666666667,9,33.838402,4.92,1.0,5.2,00:00:00,97.93
2023-08-23 19:24:59.018760,24.68,16.42,1611983737.0,106.0,109608662196,33720222,0.16774380000000003,10,43.1183,4.92,2.0,5.0,00:00:00,81.32
2023-08-23 19:25:00.025819,22.07,11.34,661976575.0,137.0,109642382418,30552600,0.18442345000000002,11,33.720222,4.92,2.0,4.6,00:00:00,114.93
2023-08-23 19:25:01.033151,20.78,9.32,194154958.0,91.0,109672935018,29853626,0.20110368333333334,12,30.5526,4.61,0.0,4.5,00:00:00,70.22
2023-08-23 19:25:02.040124,20.79,9.02,236466959.0,103.0,109702788644,29994936,0.21778250000000002,13,29.853626,4.61,0.0,4.4,00:00:00,82.21000000000001
2023-08-23 19:25:03.047201,19.96,7.41,112827623.0,90.0,109732783580,31853708,0.23446176666666665,14,29.994936,4.61,0.0,4.3,00:00:00,70.03999999999999
2023-08-23 19:25:04.054200,26.05,18.58,899334236.0,90.0,109764637288,38404375,0.2511389,15,31.853708,4.61,0.0,4.3,00:00:00,63.95
2023-08-23 19:25:05.061110,25.34,19.05,423273755.0,124.0,109803041663,36596661,0.26781715,16,38.404375,4.61,0.0,4.2,00:00:00,98.66
2023-08-23 19:25:06.067738,25.12,18.77,290485177.0,141.0,109839638324,37832180,0.2844954666666667,17,36.596661,4.61,0.0,4.0,00:00:00,115.88
2023-08-23 19:25:07.074363,24.72,17.99,303720098.0,137.0,109877470504,35407019,0.3011753833333334,18,37.83218,4.72,1.0,4.0,00:00:00,112.28
2023-08-23 19:25:08.080815,25.95,20.26,383058228.0,131.0,109912877523,40621491,0.3178516333333333,19,35.407019,4.72,1.0,3.9,00:00:00,105.05
2023-08-23 19:25:09.086862,30.27,22.66,2001043965.0,128.0,109953499014,58582482,0.33453016666666663,20,40.621491,4.72,2.0,3.9,00:00:00,97.73
2023-08-23 19:25:10.093704,60.09,32.4,5590228528.0,142.0,110012081496,89969781,0.35120419999999997,21,58.582482,4.72,2.0,4.2,00:00:00,81.91
2023-08-23 19:25:11.094422,69.15,34.13,16195445541.0,174.0,110102051277,107974625,0.3678787333333334,22,89.969781,4.74,17.0,4.6,00:00:01,104.85
2023-08-23 19:25:12.095290,76.8,35.04,24974398344.0,205.0,110210025902,118039560,0.38454615000000003,23,107.974625,4.74,17.0,4.9,00:00:01,128.2
2023-08-23 19:25:13.096924,84.63,35.03,34282925624.0,219.0,110328065462,126025110,0.4012203166666667,24,118.03956,4.74,35.0,5.3,00:00:01,134.37
2023-08-23 19:25:14.098372,93.64,37.38,37631386488.0,229.0,110454090572,145456396,0.41790078333333336,25,126.02511,4.74,35.0,5.6,00:00:01,135.36
2023-08-23 19:25:15.099320,101.46,36.05,53145290041.0,238.0,110599546968,146028939,0.43457756666666664,26,145.456396,4.74,51.0,6.1,00:00:01,136.54000000000002
2023-08-23 19:25:16.100613,106.12,35.76,65506073821.0,244.0,110745575907,160901979,0.45125815,27,146.028939,4.74,51.0,6.4,00:00:01,137.88
2023-08-23 19:25:17.102046,111.44,36.34,67728993693.0,250.0,110906477886,159537426,0.46793465,28,160.901979,5.57,58.0,6.7,00:00:02,138.56
2023-08-23 19:25:18.102631,105.96,35.59,62323029808.0,258.0,111066015312,162980356,0.4846136833333333,29,159.537426,5.57,58.0,6.9,00:00:02,152.04000000000002
2023-08-23 19:25:19.103817,115.78,37.02,72298406612.0,263.0,111228995668,166326572,0.5012895333333334,30,162.980356,5.57,60.0,7.1,00:00:02,147.22
2023-08-23 19:25:20.105256,105.26,35.79,62508297234.0,261.0,111395322240,156528810,0.5179632333333334,31,166.326572,5.57,60.0,7.2,00:00:02,155.74
2023-08-23 19:25:21.106427,112.2,37.91,55044193966.0,261.0,111551851050,163119246,0.53464985,32,156.52881,6.24,61.0,7.5,00:00:02,148.8
2023-08-23 19:25:22.107347,108.38,36.22,59049100852.0,253.0,111714970296,162787248,0.5513218999999999,33,163.119246,6.24,61.0,7.6,00:00:02,144.62
2023-08-23 19:25:23.108872,111.37,35.58,67565210672.0,257.0,111877757544,148311822,0.5679916333333334,34,162.787248,6.24,49.0,7.4,00:00:02,145.63
2023-08-23 19:25:24.110511,82.05,35.12,29654033504.0,256.0,112026069366,121789170,0.5846653166666667,35,148.311822,6.24,49.0,7.4,00:00:02,173.95
2023-08-23 19:25:25.112161,87.67,36.21,34421804222.0,234.0,112147858536,130773156,0.6013393666666667,36,121.78917,6.24,31.0,7.3,00:00:02,146.32999999999998
2023-08-23 19:25:26.113578,92.12,37.59,39600076935.0,224.0,112278631692,141803508,0.6180107166666667,37,130.773156,6.24,31.0,7.2,00:00:02,131.88
2023-08-23 19:25:27.114814,110.57,36.24,63915358054.0,235.0,112420435200,166964622,0.6346821333333333,38,141.803508,6.62,35.0,7.2,00:00:02,124.43
2023-08-23 19:25:28.116381,109.79,36.22,61423911908.0,246.0,112587399822,160830426,0.6513543333333334,39,166.964622,6.62,35.0,7.0,00:00:02,136.20999999999998
2023-08-23 19:25:29.117803,112.85,37.76,59395250571.0,265.0,112748230248,158640642,0.6680186333333332,40,160.830426,6.62,43.0,7.0,00:00:02,152.15
2023-08-23 19:25:30.119002,85.96,34.15,39626387226.0,257.0,112906870890,117694764,0.6847105,41,158.640642,6.62,43.0,7.0,00:00:03,171.04000000000002
2023-08-23 19:25:31.122834,81.52,34.87,31959481355.0,255.0,113024565654,126721098,0.701388,42,117.694764,6.41,30.0,6.9,00:00:03,173.48000000000002
2023-08-23 19:25:32.124665,98.02,35.2,52791607214.0,229.0,113151286752,149541336,0.7180627333333334,43,126.721098,6.41,30.0,6.9,00:00:03,130.98000000000002
2023-08-23 19:25:33.126373,110.06,37.01,66134583545.0,236.0,113300828088,161737220,0.7347317833333334,44,149.541336,6.41,27.0,6.8,00:00:03,125.94
2023-08-23 19:25:34.127796,93.78,35.02,51402442181.0,249.0,113462565308,133779284,0.7514056166666666,45,161.73722,6.41,27.0,6.8,00:00:03,155.22
2023-08-23 19:25:35.129422,103.64,36.9,56513255544.0,244.0,113596344592,157668144,0.7680779,46,133.779284,6.41,33.0,6.8,00:00:03,140.36
