minutes,video_processing-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1116,63.8551736676332,19.665678748382394,11.796777774007417
1117,41.766614958439185,25.52792702990158,12.350589350717934
1118,43.87838712779314,22.75936306414198,15.84031402356868
1119,44.716116790317216,22.77773850417577,15.61211833182158
1120,49.570562843974,18.162737137022486,10.890649584075703
1121,49.636955176950636,18.46200077671622,7.803849757010478
1122,43.68313344297662,18.936925335122794,9.469031348645457
1123,55.84353957670317,24.81103637494163,7.963910249732601
1124,46.252537416237324,25.210742008749477,13.11380125539651
1125,45.80334182462926,22.81192366014779,13.910403257889202
1126,45.19084289433121,24.409030945484044,13.688255991491067
1127,51.63971805106237,26.075830623214507,9.663049984668708
1128,46.27405072201921,27.765454874212004,8.252856609143349
