minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
56,20.599776575327212,2.7716790161570173,13.539991893056555
57,31.2095165074719,2.961893756230426,10.95365427437498
58,22.123625613356207,4.306316394686376,16.08289701457428
59,21.548412720856945,3.552572374802121,19.57084298860287
60,29.987081860017962,3.6824709082751426,15.805876069434976
61,27.077533606263803,4.181577965715229,17.004676150940913
62,32.616464906834075,3.6105556149662683,18.21624745295341
63,31.89934901368616,3.728526534522991,20.974538555635558
64,32.14617799981741,3.249098170868769,24.87485221167446
65,36.49815763823479,4.214892007498752,21.525586872247473
66,32.24888362135566,5.590824816569587,25.365921266020482
67,31.74038237995287,4.605364982238172,31.521133267436173
68,51.38289966403377,3.13759140421752,16.340570082815464
69,42.22439491588253,4.651762422014344,20.84160423947462
70,37.67028720116136,5.16376521411139,30.383952716291923
71,39.250186023950874,5.415756217560881,28.648822107720328
72,42.66877418829944,5.9190507464737685,23.229436624765608
73,98.72070412494939,4.401132420555011,61.1749831422638
