minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
56,3.4902531172654996,2.383884770678531,3.300979053674551
57,2.823563431835664,2.547485973911758,5.001120273792991
58,4.145747049417632,3.7038062528790916,3.545165864978155
59,5.044847610544983,3.0555209068784426,3.4529917725747543
60,4.074338349548609,3.1672449318736473,4.805233141183768
61,4.383357420941103,3.5965203660901595,4.338997121284349
62,4.6956685764453425,3.1053915312819704,5.226574524663754
63,5.406683338898705,3.206856771980781,5.111661407345111
64,6.412081422134184,2.7945067241995325,5.151214133078791
65,5.548729074229236,3.6251733365079244,5.848590319461322
66,6.538666084168048,4.808595099959005,5.167672035141595
67,8.125317541942403,3.961014020951059,5.086188047172106
68,4.212168376458851,2.698601216636077,8.233772579416552
69,5.372416375148882,4.000919850390951,6.766182276867556
70,7.832182361738913,4.441286736855805,6.036416392295894
71,7.384911413331965,4.658020894010896,6.289584813899051
72,5.987936642228452,5.090897917521647,6.837391139972037
73,15.769298630115419,3.785356273197785,15.819345189926386
