minutes,video_processing-0-0.0.1,model_training-0-0.0.1,image_processing-0-0.0.1
1323,8.533104649346877,6.7140995914199095,7.45583001114865
1324,15.406059157873663,14.611214322334027,3.5670320796697443
1325,9.231251766883947,23.120726788156734,6.567962981071073
1326,16.835631320999,15.517136425162754,8.147849463006015
1327,22.27512801169288,19.241616946259292,7.666761737361439
1328,12.1023811193564,15.91636328614293,6.229724235069511
1329,16.810159102318117,17.132967189906207,5.094315484205179
1330,21.51068471591556,14.449367220492253,12.107210619859515
1331,18.028208863969095,23.89177873293026,6.8383597181700955
1332,15.171201956862653,23.979527000795418,9.705259329335975
1333,17.13692457085665,19.865333360528865,7.727076287155334
1334,15.532339738579426,12.596442190140143,9.556131587957648
