timestamp,energy_pkg,unit,event_name,counter_runtime,pct_time_counter_running,energy_ram,retired_instructions
2023-03-15 13:50:29.001006,20.55,Joules,power/energy-pkg/,1001010878,100.0,,
2023-03-15 13:50:30.002107,22.14,Joules,power/energy-pkg/,1001100592,100.0,,
2023-03-15 13:50:31.002434,20.75,Joules,power/energy-pkg/,1000310561,100.0,,
2023-03-15 13:50:32.003476,19.73,Joules,power/energy-pkg/,1001039726,100.0,,
2023-03-15 13:50:33.004553,23.65,Joules,power/energy-pkg/,1001062573,100.0,,
2023-03-15 13:50:34.005634,22.23,Joules,power/energy-pkg/,1001072445,100.0,,
2023-03-15 13:50:35.006442,21.9,Joules,power/energy-pkg/,1000814989,100.0,,
2023-03-15 13:50:36.007548,22.3,Joules,power/energy-pkg/,1001095180,100.0,,
2023-03-15 13:50:37.008651,21.45,Joules,power/energy-pkg/,1001088166,100.0,,
2023-03-15 13:50:38.009744,19.17,Joules,power/energy-pkg/,1001090732,100.0,,
2023-03-15 13:50:39.010436,18.53,Joules,power/energy-pkg/,1000687229,100.0,,
2023-03-15 13:50:40.011547,19.78,Joules,power/energy-pkg/,1001087243,100.0,,
2023-03-15 13:50:41.012648,18.44,Joules,power/energy-pkg/,1001102280,100.0,,
2023-03-15 13:50:42.013731,21.08,Joules,power/energy-pkg/,1001074460,100.0,,
2023-03-15 13:50:43.014432,19.56,Joules,power/energy-pkg/,1000677729,100.0,,
2023-03-15 13:50:44.015502,20.53,Joules,power/energy-pkg/,1001062108,100.0,,
2023-03-15 13:50:45.016574,19.91,Joules,power/energy-pkg/,1001077867,100.0,,
2023-03-15 13:50:46.017652,17.03,Joules,power/energy-pkg/,1001054858,100.0,,
2023-03-15 13:50:47.018445,18.92,Joules,power/energy-pkg/,1000798265,100.0,,
2023-03-15 13:50:48.019234,20.8,Joules,power/energy-pkg/,1000796427,100.0,,
2023-03-15 13:50:49.020340,20.5,Joules,power/energy-pkg/,1001081875,100.0,,
2023-03-15 13:50:50.021431,20.16,Joules,power/energy-pkg/,1001081914,100.0,,
2023-03-15 13:50:51.022446,19.44,Joules,power/energy-pkg/,1001005188,100.0,,
2023-03-15 13:50:52.023538,20.53,Joules,power/energy-pkg/,1001071951,100.0,,
