minutes,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1307,17.82019949497571,2.9096826183671,1.4102644415991166
1308,17.937540636347055,2.7718884000085136,1.5366318333825661
1309,16.788703080143648,2.609723498521236,1.4279201797664762
1310,18.11346815592825,2.24825806751116,1.518642600275019
1311,19.76198358770754,2.446445288630125,1.4639201137277729
1312,20.077657665162562,2.7515186418676465,1.4802591685188482
1313,17.525239886005473,2.5488450761470425,2.156052668503551
1314,17.852325594848015,2.2522936568445586,2.596099985482215
1315,18.840337294320342,2.073029900791679,2.381195865526498
1316,19.087080596682448,2.430821229397776,2.933738371680664
1317,19.951867912891277,2.3291396454343216,3.2731679155248985
