,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,196.68120799999997,38.788837,49.38971899999999
1,312.6615500000001,32.628006,42.29662699999999
2,230.765894,37.064859000000006,36.440913
3,153.168597,45.51747100000001,31.728343000000006
4,272.5155549999999,47.668532,35.163790000000006
5,228.35499499999997,42.284718,41.76849699999998
6,180.303457,39.807841999999994,29.263942999999994
7,186.54930300000004,41.250722,42.778086
8,237.134341,36.894064000000014,44.926072999999995
9,190.492309,39.12897100000001,44.735081
10,256.6934769999999,49.727856,41.660991
