minutes,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1307,3.716666666666667,1.6166666666666667,1.4166666666666667
1308,5.833333333333333,1.2833333333333334,1.2
1309,4.366666666666666,1.5833333333333333,1.0833333333333333
1310,2.8333333333333335,1.8833333333333333,0.9166666666666666
1311,5.083333333333333,1.9666666666666666,0.9666666666666667
1312,4.266666666666667,1.7333333333333334,1.1833333333333333
1313,3.45,1.7666666666666666,0.8333333333333334
1314,3.566666666666667,1.7833333333333334,1.3166666666666667
1315,4.45,1.55,1.3166666666666667
1316,3.5166666666666666,1.7,1.2666666666666666
1317,4.816666666666666,1.9666666666666666,1.1
