,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,223.0,97.0,85.0
1,350.0,77.0,72.0
2,262.0,95.0,65.0
3,170.0,113.0,55.0
4,305.0,118.0,58.0
5,256.0,104.0,71.0
6,207.0,106.0,50.0
7,214.0,107.0,79.0
8,267.0,93.0,79.0
9,211.0,102.0,76.0
10,289.0,118.0,66.0
